time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_packet_loss_dl_percentage,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063174992651488,0.0085830688476562,0.0078678131103515,0.0078678131103515,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,113.256,226.1379740454934,226.3265371322632,326.224,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006147878086982,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,113.256,226.00793838500977,226.00793838500977,1.192,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061261653900146,0.0085830688476562,0.0107288360595703,0.0107288360595703,0.0064373016357421,0.0064373016357421,0.0063419342041015,0.0,0.0,0.0,0.0,0.0079631805419921,0.0108718872070312,0.0209331512451171,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061070919036865,0.0081062316894531,0.00762939453125,0.00762939453125,0.011444091796875,0.011444091796875,0.0062518649631076,0.0,0.0,0.0,0.0,0.008249282836914,0.0108155337246981,0.026702880859375,0.496,1.36,0.0,0.0,0.0,7.936,8.016,112.0,0.0,0.0,0.0,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060427188873291,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0073909759521484,0.0061670939127604,0.0,0.0,0.0,0.0,0.0089168548583984,0.0118255615234375,0.0298023223876953,0.496,1.36,0.0,0.0,0.0,11.968,12.008,112.0,0.0,0.0,0.0,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062835216522216,0.0083446502685546,0.00762939453125,0.00762939453125,0.0085830688476562,0.0085830688476562,0.0059869554307725,0.0,0.0,0.0,0.0,0.0070095062255859,0.0109239058061079,0.0293254852294921,0.496,1.36,0.0,0.0,0.0,7.208,8.792,112.0,0.0,0.0,0.0,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061348303040461,0.0083446502685546,0.00762939453125,0.00762939453125,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,226.0160446166992,226.0160446166992,1.192,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060479998012671,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,144.408,226.1710226535797,226.4366865158081,1737.008,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062178616500019,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.00762939453125,0.00762939453125,0.0071048736572265,0.0,0.0,0.0,0.0,0.010538101196289,0.0108718872070312,0.0208377838134765,0.496,1.424,0.0,0.0,0.0,4.232,3.744,113.256,226.00674629211423,226.00674629211423,1.192,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061011314392089,0.0081300735473632,0.0088214874267578,0.0088214874267578,0.0102519989013671,0.0102519989013671,0.005960464477539,0.0169277191162109,0.0172853469848632,0.0222682952880859,0.0208139419555664,0.0075817108154296,0.0098185105757279,0.0236034393310546,0.496,1.36,1.696,0.0,1.696,7.936,8.016,112.0,0.0,0.0,0.0,1
