time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0061929522462152,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0061929522462152,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0062465667724609,0.0107288360595703,0.0107288360595703,0.0081539154052734,0.0107288360595703,0.028395652770996,0.0073909759521484,0.0073909759521484,0.496,1.36,0.0,0.0,113.256,7.488,8.464,0.0,1.192,0
87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0061929522462152,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.005960464477539,0.0104904174804687,0.0104904174804687,0.0081300735473632,0.0113248825073242,0.0290632247924804,0.0073909759521484,0.0073909759521484,0.496,1.36,0.0,0.0,113.256,7.488,8.464,0.0,1.192,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0061929522462152,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0061361413252981,0.0069141387939453,0.0069141387939453,0.008392333984375,0.011512211390904,0.0319480895996093,0.0073909759521484,0.0073909759521484,0.496,1.36,0.0,0.0,113.256,17.056,14.944,0.0,1.192,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0061929522462152,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060102832851125,0.0065565109252929,0.007033348083496,0.0,0.0,0.0,0.0,0.0,0.0118017196655273,0.0118970870971679,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,1.344,2.208,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0062214201362571,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.0152587890625,0.0152587890625,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081300735473632,0.0062477588653564,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0,0.0,0.0064373016357421,0.0152587890625,0.0152587890625,0.0071525573730468,0.0118992545387961,0.0319480895996093,0.0047683715820312,0.0047683715820312,0.496,1.36,0.0,0.0,112.696,8.016,7.936,0.0,1.192,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060474872589111,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.005960464477539,0.0092983245849609,0.0092983245849609,0.0081777572631835,0.0114679336547851,0.0281333923339843,0.0,0.0,0.496,1.36,0.0,0.0,112.0,7.488,8.464,0.0,0.0,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085830688476562,0.0061273574829101,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0066041946411132,0.0081062316894531,0.0081062316894531,0.0086069107055664,0.0112771987915039,0.0286340713500976,0.0,0.0,0.496,1.36,0.0,0.0,112.0,16.528,15.472,0.0,0.0,1
