time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_p90_ul_ms,f1_u_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0059082733457954,0.0047683715820312,0.0047683715820312,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.496,1.424,0.848,0.0,0.0,0.0,113.256,100.0,0.0,0.0178813934326171,0.0,0.0178813934326171,1.192,1
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0080585479736328,0.005951068671466,0.0054306454128689,0.0086307525634765,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,1.0,0.0,0.496,1.36,3.6,0.0,0.0,0.0,121.336,100.0,0.0,6198.969841003418,0.0,19994.63653564453,57.752,1
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0080823898315429,0.0061139021769608,0.004242032261218,0.0052452087402343,0.0073432922363281,0.0109672546386718,0.0109672546386718,0.0085830688476562,0.0159740447998046,0.0159740447998046,0.0120162963867187,0.0208854675292968,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,118.448,100.0,0.0,0.0,0.0,0.0,2271.312,1
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.006234467919193,0.0042591861744022,0.0052452087402343,0.0058412551879882,0.0073909759521484,0.0073909759521484,0.0064611434936523,0.0112056732177734,0.0112056732177734,0.0102122624715169,0.0181198120117187,0.0,0.0,0.496,1.424,0.0,0.0,4.272,3.704,117.192,100.0,0.0,0.0,0.0,0.0,1788.536,1
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0092983245849609,0.0065891303826327,0.0042667324911027,0.0052452087402343,0.0061988830566406,0.0069141387939453,0.0069141387939453,0.0088453292846679,0.0128746032714843,0.0128746032714843,0.0103473663330078,0.0233888626098632,0.0,0.0,0.496,1.424,0.0,0.0,8.264,7.736,117.192,100.0,0.0,0.0,0.0,0.0,2850.416,1
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.005845406755286,0.0049372514088948,0.0062227249145507,0.0,0.009775161743164,0.009775161743164,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.496,1.424,0.848,0.0,0.0,0.0,114.392,100.0,0.0,0.0104904174804687,0.0,0.0104904174804687,162.096,1
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0060577297685158,0.0061988830566406,0.0061988830566406,0.0,0.00762939453125,0.00762939453125,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,114.392,100.0,0.0,0.0,0.0,0.0,2.104,1
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0060873838206428,0.0065565109252929,0.0081777572631835,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.496,1.424,0.848,0.848,0.0,0.0,117.888,0.0,0.0102519989013671,0.0045299530029296,0.0102519989013671,0.0045299530029296,8.112,1
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0083446502685546,0.0064301846632316,0.0057816505432128,0.0072240829467773,0.0061988830566406,0.0083446502685546,0.0083446502685546,0.0079631805419921,0.0071525573730468,0.0071525573730468,0.011444091796875,0.0195980072021484,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,113.256,0.0,0.0,0.0,0.0,0.0,33.824,1
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0092983245849609,0.0069763860091787,0.0042353537269941,0.0050067901611328,0.0071525573730468,0.00762939453125,0.008392333984375,0.0103950500488281,0.013589859008789,0.0137805938720703,0.0108718872070312,0.01983642578125,1.0,0.0,1.344,2.272,6.544,0.0,3.744,4.232,123.64,0.0,3070.7740783691406,-2122.0297813415527,3070.7740783691406,11673.636913299562,7818.568,1
