time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060019801505169,0.0081062316894531,0.0057220458984375,0.0057220458984375,0.009775161743164,0.0064373016357421,0.0057220458984375,0.009775161743164,0.0064373016357421,0.0104904174804687,0.0104904174804687,0.0057220458984375,0.0,0.0,0.496,1.36,0.0,0.0,0.848,0.848,0.0,113.256,0.0,0.0,0.0,0.0,1.192,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059378147125244,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0045299530029296,0.0,0.0116825103759765,0.0045299530029296,0.0,0.00762939453125,0.00762939453125,0.0116825103759765,0.0,0.0,0.496,1.36,0.0,0.0,0.848,0.848,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061750411987304,0.0083446502685546,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060760974884033,0.0083446502685546,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0106334686279296,0.0196456909179687,0.496,1.36,0.0,0.0,0.0,0.0,3.744,112.0,4.232,0.0,0.006103515625,0.0081062316894531,0.0,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060672190651964,0.0083446502685546,0.0078678131103515,0.0078678131103515,0.0,0.0063180923461914,0.0,0.0,0.0081300735473632,0.0085830688476562,0.0085830688476562,0.0,0.0110149383544921,0.0208854675292968,0.496,1.36,0.0,0.0,0.0,0.0,3.744,117.192,4.232,0.0,0.006723403930664,0.0084877014160156,14.448,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060112169473478,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0,0.0053644180297851,0.0,0.0,0.005650520324707,0.0109672546386718,0.0109672546386718,0.0,0.0108003616333007,0.0257253646850585,0.496,1.424,0.0,0.0,0.0,0.0,8.264,118.448,7.736,0.0,0.0066280364990234,0.0097990036010742,10.992,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0071663787399513,0.0098705291748046,0.0095367431640625,0.0095367431640625,0.0,0.0038793054482619,0.0,0.0,0.0045299530029296,0.0143051147460937,0.0143051147460937,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,144.408,0.0,0.0,0.0,0.0,43530.464,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0077993562906095,0.0102519989013671,0.0101327896118164,0.0142335891723632,0.0,0.0038884371868439,0.0,0.0,0.0045299530029296,0.0113248825073242,0.011610984802246,0.0,0.0,0.0,1.344,2.272,0.0,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,0.0,12589.192,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006260871887207,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0069046964739808,0.009775161743164,0.0116825103759765,0.0116825103759765,0.0,0.0039003048723901,0.0,0.0,0.0045299530029296,0.0095367431640625,0.0095367431640625,0.0,0.0107288360595703,0.0199794769287109,0.496,1.392,0.0,0.0,0.0,0.0,3.744,122.384,4.232,0.0,0.006103515625,0.0079631805419921,9791.928,0
