time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
100,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066791923300733,0.0094175338745117,0.009775161743164,0.009775161743164,0.0147819519042968,0.0147819519042968,0.0059723854064941,0.0,0.0,0.0,0.0,0.0083684921264648,0.0108838081359863,0.0282764434814453,0.0314425818527801,0.1015663146972656,0.496,1.36,0.0,0.0,15.472,16.528,143.152,24.761904761904763,6273.2,1
101,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062060356140136,0.0086069107055664,0.0100135803222656,0.0100135803222656,0.0143051147460937,0.0143051147460937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301274386319247,0.0963211059570312,0.496,1.424,0.0,0.0,0.0,0.0,112.0,8.333333333333332,116.536,1
102,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062439572158737,0.0083446502685546,0.0095367431640625,0.0095367431640625,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005499521891276,0.0079631805419921,0.496,1.36,0.0,0.0,0.0,0.0,113.256,40.0,154.84,1
103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059877462054959,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0109672546386718,0.0109672546386718,0.0,0.00762939453125,0.009775161743164,0.009775161743164,0.00762939453125,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.496,1.392,0.848,0.848,0.0,0.0,113.256,0.0,1.192,1
104,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060150279334528,0.00762939453125,0.0092983245849609,0.0092983245849609,0.0095367431640625,0.0095367431640625,0.006413459777832,0.0133514404296875,0.0042915344238281,0.0042915344238281,0.0133514404296875,0.0083446502685546,0.0109195709228515,0.027322769165039,0.00762939453125,0.00762939453125,0.496,1.36,0.848,0.848,8.464,7.488,113.256,0.0,1.192,1
105,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060915946960449,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0071525573730468,0.0071525573730468,0.0062783559163411,0.0,0.0,0.0,0.0,0.008249282836914,0.0106854872270063,0.0290870666503906,0.0,0.0,0.496,1.36,0.0,0.0,7.936,8.016,112.0,0.0,0.0,1
106,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060939788818359,0.0081062316894531,0.00762939453125,0.00762939453125,0.0071525573730468,0.0071525573730468,0.0063620115581311,0.0,0.0,0.0,0.0,0.0084400177001953,0.0105358305431547,0.0262260437011718,0.0,0.0,0.496,1.36,0.0,0.0,14.944,17.056,112.0,0.0,0.0,1
107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058770179748535,0.0078678131103515,0.0102519989013671,0.0102519989013671,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,1
108,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060224533081054,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,1
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061595439910888,0.0083684921264648,0.0071525573730468,0.0071525573730468,0.0054836273193359,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011444091796875,0.011444091796875,0.496,1.36,0.0,0.0,0.0,0.0,112.0,66.66666666666666,12.072,1
