time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,f1_c_latency_p90_ul_ms,F-node
144,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006392227476509,0.0085830688476562,0.0102519989013671,0.0102519989013671,0.0054836273193359,0.0054836273193359,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,1.0,0.496,1.36,1.0,4.16,4.096,0.0,0.0,113.256,0.0,20744.29396220616,0.0112056732177734,0.0155925750732421,1.192,64923.21848869326,1
145,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059676170349121,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0,0.0,0.0063419342041015,0.0107288360595703,0.0107288360595703,0.008392333984375,0.0111103057861328,0.020456314086914,0.0,0.496,1.36,0.0,0.0,0.0,3.744,4.232,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059735774993896,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0,0.0,0.006103515625,0.0133514404296875,0.0133514404296875,0.0076770782470703,0.0102519989013671,0.0185012817382812,0.0,0.496,1.36,0.0,0.848,0.848,3.744,4.232,112.0,0.0,0.0054836273193359,0.0159740447998046,0.0159740447998046,0.0,0.0054836273193359,1
147,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0066629891256684,0.0092983245849609,0.0100135803222656,0.0100135803222656,0.0043295272228073,0.0054836273193359,0.0066280364990234,0.0102519989013671,0.0102519989013671,0.0087261199951171,0.0096797943115234,0.0210046768188476,0.0,0.496,1.424,0.0,0.0,0.0,8.264,7.736,143.152,0.0,0.0,0.0,0.0,4236.984,0.0,1
148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063317332101698,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0044277736118861,0.0054836273193359,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.848,0.0,0.0,117.192,100.0,0.0081062316894531,0.0,0.0,1139.048,0.0081062316894531,1
149,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059806292329854,0.0081062316894531,0.0066757202148437,0.0066757202148437,0.0071525573730468,0.0071525573730468,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.496,1.392,0.0,0.0,0.0,0.0,0.0,113.256,100.0,0.0,0.0,0.0,1.192,0.0,1
150,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061668566803434,0.0083446502685546,0.00762939453125,0.00762939453125,0.0083446502685546,0.0083446502685546,0.0,0.0119209289550781,0.0119209289550781,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,113.256,100.0,0.0,0.0,0.0,1.192,0.0,1
151,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063424086689355,0.0085830688476562,0.0085830688476562,0.0085830688476562,0.0081062316894531,0.0081062316894531,0.0069618225097656,0.0057220458984375,0.0057220458984375,0.0098228454589843,0.01068115234375,0.0193595886230468,0.0,0.496,1.36,0.0,0.0,0.0,3.744,4.232,113.256,100.0,0.0,0.0,0.0,1.192,0.0,1
152,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061063624140041,0.0081062316894531,0.0088214874267578,0.0088214874267578,0.0064373016357421,0.0083446502685546,0.0060200691223144,0.0090599060058593,0.0090599060058593,0.0067710876464843,0.0099738438924153,0.0169277191162109,0.0,0.496,1.424,0.0,0.0,0.0,4.272,3.704,117.192,100.0,0.0,0.0,0.0,13.408,0.0,1
153,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062000751495361,0.0085830688476562,0.007033348083496,0.0078916549682617,0.0,0.0,0.0067472457885742,0.0069141387939453,0.0084400177001953,0.0084400177001953,0.0103712081909179,0.0214815139770507,1.0,1.344,2.208,0.0,0.0,3.6,8.264,7.736,112.0,0.0,29286.002218723297,5118.7424659729,5118.7424659729,0.0,74905.60388565063,1
