time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059248796149865,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0133514404296875,0.0133514404296875,0.0059843063354492,0.0,0.0,0.0083684921264648,0.0107765197753906,0.027012825012207,0.496,1.36,0.0,0.0,0.0,113.256,8.264,7.736,226.0065078735352,226.0065078735352,1.192,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059248796149865,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0057220458984375,0.0057220458984375,0.009775161743164,0.009775161743164,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.496,1.36,0.848,0.848,0.0,113.256,0.0,0.0,226.0065078735352,226.0065078735352,1.192,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062141512415091,0.0085353851318359,0.0104904174804687,0.0104904174804687,0.0,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,121.928,0.0,0.0,226.008415222168,226.0104179382324,9.064,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060665607452392,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0083446502685546,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0065326690673828,0.0047683715820312,0.0047683715820312,0.0088691711425781,0.0121593475341796,0.0238418579101562,0.496,1.424,0.848,0.848,0.0,112.0,3.744,4.232,0.0,0.0,0.0,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060236454010009,0.0081300735473632,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0107288360595703,0.0114917755126953,0.0060796737670898,0.0,0.0,0.0083684921264648,0.0104427337646484,0.0263452529907226,1.344,2.208,0.0,0.0,0.0,112.0,7.488,8.464,0.0,0.0,0.0,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060147578173344,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0131130218505859,0.0131130218505859,0.0058968861897786,0.0,0.0,0.008249282836914,0.0104109446207682,0.0257015228271484,0.496,1.36,0.0,0.0,0.0,115.52,12.008,11.968,226.0115146636963,226.01208686828613,3.168,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006447717981431,0.0089406967163085,0.00762939453125,0.00762939453125,0.0,0.0,0.0081062316894531,0.0081062316894531,0.005960464477539,0.0,0.0,0.0081300735473632,0.0102758407592773,0.0243186950683593,0.496,1.424,0.0,0.0,17.649186256781192,139.216,8.264,7.736,226.17452805326025,226.43394470214844,14429.648,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070463312734471,0.0095129013061523,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,3.0864197530864197,118.448,0.0,0.0,226.15772994460573,226.41949653625488,19097.248,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063526630401611,0.0083446502685546,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,112.0,0.0,0.0,226.08390356365004,226.2613296508789,0.0,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063086500262269,0.008559226989746,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0058174133300781,0.0,0.0,0.0073909759521484,0.0106334686279296,0.0202178955078125,0.496,1.392,0.0,0.0,0.0,119.904,3.744,4.232,226.00670961233288,226.0089874267578,975.184,1
