time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_retransmissions_ul_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,a1_packet_loss_dl_percentage,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
38,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066673755645751,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,9.04,112.0,20.0,3.744,4.232,20.0,0.0,1220.0463771820068,1011.7934346199036,-893.3441400527954,-1138.7890577316284,0.0061511993408203,0.0079154968261718,0.0226974487304687,0.0114917755126953,0.0,0
39,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0068876478407118,0.0090599060058593,0.0038917841041335,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.576,6.864,144.408,20.0,8.264,7.736,20.0,0.0,1220.2097415924072,1069.2216753959656,-847.6152658462524,-1014.3448114395142,0.0063419342041015,0.0088691711425781,0.0287532806396484,0.0114202499389648,4726.952,0
40,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066721617285885,0.0085830688476562,0.0040531158447265,0.0040531158447265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.448,7.008,113.256,33.33333333333333,3.744,4.232,20.0,0.0,1280.9638500213623,1120.4856038093567,-897.5236892700195,-1052.6114702224731,0.0072002410888671,0.0102519989013671,0.023508071899414,0.0120162963867187,1.192,0
41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066909883997123,0.0088214874267578,0.0039029477247551,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.096,5.728,123.64,25.0,3.744,4.232,40.0,0.0,1238.8373374938965,1067.4124558766682,-880.2996635437012,-1065.92059135437,0.0061511993408203,0.0077724456787109,0.0231266021728515,0.0123500823974609,3682.472,0
42,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066518783569335,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,9.04,112.0,20.0,8.264,7.736,20.0,0.0,1217.4307107925415,1013.2473707199096,-897.1702814102173,-1136.6057991981506,0.0061511993408203,0.0086307525634765,0.0289440155029296,0.0118732452392578,0.0,0
43,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0067019462585449,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.576,6.864,112.0,20.0,3.744,4.232,20.0,0.0,1216.485834121704,1059.237003326416,-852.4842977523804,-1013.4031772613524,0.0067710876464843,0.0084400177001953,0.0232219696044921,0.0124454498291015,0.0,0
44,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0065624713897705,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.448,7.008,112.0,33.33333333333333,3.744,4.232,20.0,0.0,1289.5354509353638,1119.493842124939,-879.572606086731,-1042.2595739364624,0.006866455078125,0.0085830688476562,0.0225543975830078,0.0116348266601562,0.0,0
45,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0066363811492919,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.096,5.728,112.0,25.0,8.264,7.736,40.0,0.0,1250.8346557617188,1067.3909187316897,-868.6377048492432,-1061.331272125244,0.0065803527832031,0.0084400177001953,0.0288248062133789,0.0112771987915039,0.0,0
46,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062997068338726,0.0083446502685546,0.0045299530029296,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,9.04,113.256,20.0,3.744,4.232,20.0,0.0,1227.9608488082886,1009.5158219337465,-886.482572555542,-1140.4754519462583,0.0056743621826171,0.0073909759521484,0.0220298767089843,0.0113487243652343,1.192,0
47,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006540307720888,0.0088214874267578,0.003994650142208,0.0047683715820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.576,6.864,143.848,20.0,3.744,4.232,20.0,0.0,1227.6188611984253,1069.484293460846,-837.5252962112427,-1010.0988149642944,0.0064849853515625,0.008249282836914,0.025177001953125,0.0124454498291015,3383.248,0
