time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_dl_ms,f1_u_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,a1_retransmissions_ul_count,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0058412551879882,0.0061032795670008,0.0068902969360351,0.0073909759521484,0.0073909759521484,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0081062316894531,0.0,0.0101804733276367,0.0226020812988281,0.496,0.0,1.36,0.0,0.0,0.0,8.264,7.736,0.0,116.144,0.0060558319091796,0.0084161758422851,3.792,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0081062316894531,0.0062676804575754,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0085830688476562,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061678886413574,0.0,0.0071525573730468,0.0071525573730468,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0081300735473632,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0073909759521484,0.0062897653862981,0.0079631805419921,0.0064373016357421,0.0064373016357421,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0088214874267578,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,0.0,119.216,0.0,0.0,6.64,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063157081604003,0.0,0.0078678131103515,0.0078678131103515,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0086069107055664,0.0,0.0107288360595703,0.0203609466552734,0.496,0.0,1.424,0.0,0.0,0.0,3.744,4.232,0.0,112.0,0.0063896179199218,0.0085353851318359,0.0,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0058412551879882,0.0063528134984877,0.0081539154052734,0.0078678131103515,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0085830688476562,0.0,0.0101566314697265,0.0184535980224609,0.496,0.0,1.36,0.0,0.0,0.0,3.744,4.232,0.0,132.912,0.006103515625,0.0075817108154296,36.624,0
87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.005573034286499,0.0063416981461024,0.0067949295043945,0.0064373016357421,0.0064373016357421,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0087976455688476,0.0,0.010085105895996,0.0228404998779296,0.496,0.0,1.424,0.0,0.0,0.0,8.264,7.736,0.0,118.448,0.0063657760620117,0.0089168548583984,34.896,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0042915344238281,0.0060873838206428,0.0042915344238281,0.0071525573730468,0.0071525573730468,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0085830688476562,0.0,0.0,0.0,0.496,0.0,1.424,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.006061288254771,0.0078678131103515,0.0078678131103515,0.0078678131103515,0.0140666961669921,0.0140666961669921,0.0,0.0,0.0,0.0083446502685546,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061583518981933,0.0,0.0069141387939453,0.0069141387939453,0.005960464477539,0.005960464477539,0.0,0.0,0.0,0.0083684921264648,0.0,0.0,0.0,0.496,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
