time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
99,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071786529389186,0.009775161743164,0.0102519989013671,0.0102519989013671,0.0,0.0043193132859363,0.0171661376953125,0.0171661376953125,0.0050067901611328,0.0,0.0063862119402204,0.0085115432739257,0.0104457139968872,0.0249147415161132,0.496,1.424,0.0,0.0,11.44,12.536,0.0,0.0,117.192,10373.976,1
100,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067943364233519,0.0092983245849609,0.0090599060058593,0.0090599060058593,0.0,0.0042524854754631,0.0150203704833984,0.0150203704833984,0.0050067901611328,0.0,0.0060558319091796,0.0077724456787109,0.010538101196289,0.0195980072021484,0.496,1.424,0.0,0.0,3.504,4.52,0.0,0.0,117.192,7487.976,1
101,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068145011787983,0.0090599060058593,0.0073909759521484,0.0073909759521484,0.0,0.0043250448692778,0.0088214874267578,0.0088214874267578,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,117.192,3591.264,1
102,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007099444323247,0.0095129013061523,0.00762939453125,0.00762939453125,0.0071525573730468,0.004444554535269,0.0143051147460937,0.0143051147460937,0.0052452087402343,0.0071525573730468,0.0,0.0,0.0,0.0,0.496,1.424,0.848,0.848,0.0,0.0,35.010576248168945,35.010576248168945,118.448,5135.136,1
103,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071029851932336,0.0095367431640625,0.0090599060058593,0.0090599060058593,0.0109672546386718,0.0043645655625727,0.0104904174804687,0.0104904174804687,0.0050067901611328,0.0109672546386718,0.0061988830566406,0.0082015991210937,0.0104904174804687,0.0199317932128906,0.496,1.424,0.848,0.848,4.232,3.744,35.00986099243164,35.00986099243164,118.448,8551.144,1
104,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071100669332069,0.0095129013061523,0.0121593475341796,0.0121593475341796,0.0,0.004378073385071,0.0066757202148437,0.0066757202148437,0.0050067901611328,0.0,0.0063896179199218,0.0088214874267578,0.0113725662231445,0.0304937362670898,0.496,1.424,0.0,0.0,8.464,7.488,0.0,0.0,118.448,7475.808,1
105,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072569396365341,0.0095367431640625,0.0081062316894531,0.0081062316894531,0.0,0.0043159464905971,0.0166893005371093,0.0166893005371093,0.0050067901611328,0.0,0.0060876210530598,0.008249282836914,0.0104586283365885,0.0257492065429687,0.496,1.424,0.0,0.0,11.968,12.008,0.0,0.0,117.192,11603.104,1
106,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068187713623046,0.0095367431640625,0.0090599060058593,0.0090599060058593,0.0,0.0043629501272456,0.011444091796875,0.011444091796875,0.0050067901611328,0.0,0.005960464477539,0.0083446502685546,0.0108718872070312,0.0260114669799804,0.496,1.424,0.0,0.0,7.736,8.264,0.0,0.0,112.0,4993.56,1
107,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062558188367245,0.0083446502685546,0.0104904174804687,0.0104904174804687,0.0,0.0056028366088867,0.0112056732177734,0.0112056732177734,0.0058889389038085,0.0,0.0,0.0,0.0,0.0,0.496,1.392,0.0,0.0,0.0,0.0,0.0,0.0,115.672,6.768,1
108,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057911872863769,0.00762939453125,0.00762939453125,0.00762939453125,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,1
109,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061170378727699,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0,0.0095367431640625,0.0104904174804687,0.0104904174804687,0.0095367431640625,0.0,0.0063419342041015,0.0088214874267578,0.0104427337646484,0.0191688537597656,0.496,1.36,0.0,0.0,4.232,3.744,0.0,0.0,113.256,1.192,1
110,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061288994936207,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0,0.0052452087402343,0.005960464477539,0.005960464477539,0.0052452087402343,0.0,0.0067949295043945,0.009465217590332,0.0116586685180664,0.0272512435913085,0.496,1.36,0.0,0.0,8.464,7.488,0.0,0.0,113.256,1.192,1
111,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061277133315356,0.0081062316894531,0.013589859008789,0.013589859008789,0.0,0.0054836273193359,0.0150203704833984,0.0150203704833984,0.0054836273193359,0.0,0.0061353047688802,0.0084877014160156,0.0110467274983723,0.0281810760498046,0.496,1.36,0.0,0.0,11.968,12.008,0.0,0.0,113.256,1.192,1
112,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060689449310302,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0065326690673828,0.0091075897216796,0.0120401382446289,0.0302314758300781,0.496,1.36,0.0,0.0,7.736,8.264,0.0,0.0,112.0,0.0,1
