time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,e2_du_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063443183898925,0.0088214874267578,0.004416805202678,0.0052452087402343,0.0067133652536492,0.0089168548583984,0.0,0.0,0.0,0.0101498195103236,0.0,0.0197887420654296,0,0.496,0.0,0.0,1.424,112.0,15.048,15.016,0.0,0.0095367431640625,0.0095367431640625,0.0069141387939453,0.0069141387939453,780.256,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064927752655331,0.0085830688476562,0.0046768853830736,0.0052452087402343,0.0064611434936523,0.0090599060058593,0.0,0.0,0.0,0.0111341476440429,0.0,0.026702880859375,0,0.496,0.0,0.0,1.424,115.888,8.264,7.736,0.0,0.0083446502685546,0.0083446502685546,0.0061988830566406,0.0061988830566406,403.008,0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061457700068407,0.0083208084106445,0.0043463062595676,0.0051736831665039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.424,115.888,0.0,0.0,0.0,0.0090599060058593,0.0090599060058593,0.0071525573730468,0.0071525573730468,487.936,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006358611759881,0.0083446502685546,0.004403487495754,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.424,119.384,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0073909759521484,0.0073909759521484,770.904,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065696239471435,0.0092983245849609,0.0043733447205786,0.0052452087402343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.344,0.0,0.0,2.272,112.0,0.0,0.0,0.0,0.012516975402832,0.0147104263305664,0.0063180923461914,0.0077486038208007,632.384,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064100199077852,0.0088214874267578,0.0044206778208414,0.0050067901611328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.424,115.336,0.0,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0071525573730468,0.0071525573730468,467.008,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063115684547234,0.0088214874267578,0.004483593834771,0.0057220458984375,0.0066757202148437,0.0081539154052734,0.0,0.0,0.0,0.0118255615234375,0.0,0.0226020812988281,0,0.496,0.0,0.0,1.392,117.192,3.744,4.232,0.0,0.0104904174804687,0.0104904174804687,0.0066757202148437,0.0066757202148437,350.928,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062392125675334,0.0088214874267578,0.0053048133850097,0.0069379806518554,0.0070571899414062,0.0102043151855468,0.0,0.0,0.0,0.0124454498291015,0.0,0.0240802764892578,0,0.496,0.0,0.0,1.424,117.192,3.744,4.232,0.0,0.00762939453125,0.00762939453125,0.0064373016357421,0.0064373016357421,28.112,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060324621672677,0.0085830688476562,0.0044757669622247,0.0054597854614257,0.006866455078125,0.0099658966064453,0.0,0.0,0.0,0.0111818313598632,0.0,0.0243425369262695,0,0.496,0.0,0.0,1.392,116.432,8.264,7.736,0.0,0.0088214874267578,0.0088214874267578,0.00762939453125,0.00762939453125,196.208,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060914766670453,0.0083446502685546,0.0043710072835286,0.0054836273193359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.496,0.0,0.0,1.424,116.112,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0083446502685546,0.0083446502685546,47.728,0
