time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058631991865623,0.0078678131103515,0.0088214874267578,0.006103515625,0.0,0.0088214874267578,0.0,0.0,0.0080108642578125,0.0,0.0145435333251953,0.0145435333251953,0.0116825103759765,0.0234603881835937,0,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,0.0064373016357421,0.0064373016357421,1.192,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058501514036263,0.0078678131103515,0.0071525573730468,0.0058174133300781,0.0,0.0071525573730468,0.0,0.0,0.0072479248046875,0.0,0.0102519989013671,0.0102519989013671,0.0107288360595703,0.0201225280761718,0,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,0.0061988830566406,0.0061988830566406,1.192,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060209587438782,0.0078678131103515,0.0064373016357421,0.0058889389038085,0.0,0.0064373016357421,0.0,0.0,0.0082731246948242,0.0,0.0083446502685546,0.0083446502685546,0.011444091796875,0.0268220901489257,0,0.496,1.36,0.0,0.0,113.256,8.264,7.736,0.0,0.0078678131103515,0.0078678131103515,1.192,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059270858764648,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006037950515747,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059103965759277,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0069141387939453,0.0069141387939453,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0056815147399902,0.0074148178100585,0.0,0.0056266784667968,0.0,0.0,0.0,0.0,0.0070095062255859,0.0,0.0112056732177734,0.0112056732177734,0.0106334686279296,0.0194549560546875,0,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0066757202148437,0.0066757202148437,0.0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058442205932009,0.0078678131103515,0.0085830688476562,0.0059127807617187,0.0,0.0085830688476562,0.0,0.0,0.00762939453125,0.0,0.0116825103759765,0.0116825103759765,0.0103950500488281,0.0198841094970703,0,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,0.0069141387939453,0.0069141387939453,1.192,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059137157365387,0.0078678131103515,0.0044239891899956,0.006103515625,0.0,0.0066518783569335,0.0,0.0,0.0081300735473632,0.0,0.0128746032714843,0.0128746032714843,0.0114679336547851,0.0289678573608398,0,0.496,1.36,0.0,0.0,128.832,8.264,7.736,0.0,0.0078678131103515,0.0078678131103515,194.224,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059415798376102,0.00762939453125,0.0050663948059082,0.0,0.0,0.0060558319091796,0.0,0.0,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0,0.496,1.424,0.0,0.0,118.448,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,32.672,0
