time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_packet_loss_ul_percentage,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066982572944603,0.0083446502685546,0.0054836273193359,0.0054836273193359,0.0092744827270507,0.0,0.0,0.0,0.0126123428344726,0.0,0.0,0.0,6.096,5.76,7.488,8.464,25.0,113.256,40.0,85.01708507537842,85.03150939941406,-352.7323246002197,729.1068077087402,-533.647378285726,534.0050856272379,1.192,1
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067782402038574,0.0085830688476562,0.0052452087402343,0.0052452087402343,0.0087261199951171,0.0,0.0,0.0,0.0138282775878906,0.0,0.0,0.0,5.6,5.76,12.536,11.968,25.0,112.696,25.0,85.01581847667694,85.03544330596924,-353.7874221801758,727.4199962615967,-534.3356132507324,533.3324273427328,1.192,1
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068204319892238,0.0088214874267578,0.0040531158447265,0.0040531158447265,0.0095367431640625,0.0,0.0,0.0,0.0111103057861328,0.0,0.0,0.0,9.856,10.24,2.688,3.704,16.666666666666664,113.256,16.666666666666664,85.01970767974854,85.03937721252441,-397.8573322296143,758.3124160766602,-578.3775329589844,521.8620300292969,1.192,1
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068847768999672,0.0088214874267578,0.00405172564893,0.0047683715820312,0.0093380610148111,0.0152587890625,0.0066757202148437,0.0152587890625,0.0128746032714843,0.0066757202148437,0.848,0.848,6.448,7.04,5.576,4.032,33.33333333333333,132.208,20.0,85.01094579696655,85.01157760620117,-312.37504482269287,708.3313941955566,-478.2927632331848,548.8887429237366,3246.744,1
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0072296579085772,0.0092983245849609,0.0041659160326885,0.0050067901611328,0.0,0.005960464477539,0.0207424163818359,0.005960464477539,0.0,0.0207424163818359,0.848,0.848,6.096,5.76,0.0,0.0,25.0,117.192,40.0,0.0,0.0,-357.8324794769287,722.6316452026367,-534.6248944600424,533.0931345621744,1790.512,1
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066971778869628,0.0081300735473632,0.0,0.0,0.0079274177551269,0.0,0.0,0.0,0.0113487243652343,0.0,0.0,0.0,5.6,5.76,2.688,3.704,25.0,112.0,25.0,85.01629829406738,85.02860069274902,-357.428503036499,723.6940860748291,-533.3379904429117,533.7180296579996,0.0,1
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068891048431396,0.0085830688476562,0.0,0.0,0.0188350677490234,0.0,0.0,0.0,0.0188350677490234,0.0,0.0,0.0,9.856,10.24,1.056,0.528,16.666666666666664,112.0,16.666666666666664,85.0372314453125,85.0372314453125,-401.3752937316895,753.6593914031982,-577.5808334350586,521.0052967071533,0.0,1
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066389491902061,0.0081062316894531,0.0050067901611328,0.0050067901611328,0.0087261199951171,0.0,0.0,0.0,0.0128984451293945,0.0,0.0,0.0,6.448,7.04,7.488,8.464,33.33333333333333,113.256,20.0,85.01534991794162,85.02240180969238,-318.2871103286743,706.7209243774414,-479.74371910095215,549.9733090400696,1.192,1
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067472457885742,0.0088214874267578,0.0045299530029296,0.0045299530029296,0.0083287556966145,0.0,0.0,0.0,0.012063980102539,0.0,0.0,0.0,6.096,5.76,12.536,11.968,25.0,112.696,40.0,85.01575887203217,85.02769470214844,-361.6074085235596,717.9690361022949,-534.3132019042969,532.9398314158121,1.192,1
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067457037778636,0.0090599060058593,0.0042915344238281,0.0042915344238281,0.0093936920166015,0.0,0.0,0.0,0.015568733215332,0.0,0.0,0.0,5.6,5.76,8.264,7.736,25.0,113.256,25.0,85.01825332641602,85.03823280334473,-362.1892929077149,721.0218906402588,-533.6827437082926,534.1796875,1.192,1
