time_seconds,a1_retransmissions_ul_count,a1_packet_loss_ul_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061714649200439,0.0083684921264648,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0065326690673828,0.0152587890625,0.0152587890625,0.0,0.0084877014160156,0.0111103057861328,0.0211715698242187,0.496,1.36,0.0,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060534477233886,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0065326690673828,0.0116825103759765,0.0116825103759765,0.0,0.0086545944213867,0.0117063522338867,0.026249885559082,0.496,1.36,0.0,0.0,0.0,8.264,7.736,112.0,0.0,0.0,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061345100402832,0.0085830688476562,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0066245474466463,0.0090599060058593,0.0088214874267578,0.0088214874267578,0.0041231195977393,0.0,0.0050067901611328,0.0,0.0,0.0,0.0128746032714843,0.0128746032714843,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,134.024,0.0,2363.72,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062649792963915,0.0085830688476562,0.0123977661132812,0.0123977661132812,0.0042915344238281,0.0,0.0054836273193359,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,118.448,0.0,393.64,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0064478719175742,0.0088214874267578,0.00762939453125,0.00762939453125,0.0040152047632439,0.0,0.0047683715820312,0.0,0.0,0.0063896179199218,0.013589859008789,0.013589859008789,0.0,0.0082969665527343,0.0123977661132812,0.0230312347412109,0.496,1.36,0.0,0.0,0.0,3.744,4.232,123.416,0.0,3010.152,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.007326602935791,0.0100374221801757,0.0123977661132812,0.0123977661132812,0.0040301496752912,0.0,0.0047683715820312,0.0,0.0,0.0072956085205078,0.013589859008789,0.013589859008789,0.0,0.0087738037109375,0.0111103057861328,0.0207901000976562,0.496,1.36,0.0,0.0,0.0,3.744,4.232,112.0,0.0,14819.416,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065748964376117,0.0092983245849609,0.0078678131103515,0.0078678131103515,0.0041831623424183,0.0,0.0054836273193359,0.0,0.0,0.0067472457885742,0.021219253540039,0.021219253540039,0.0,0.0098228454589843,0.0110149383544921,0.0237226486206054,0.496,1.36,0.0,0.0,0.0,8.264,7.736,117.192,0.0,1220.2,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061166286468505,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0063629433660223,0.0090360641479492,0.0073909759521484,0.0073909759521484,0.0072717666625976,0.0,0.0081300735473632,0.0,0.0,0.0,0.013589859008789,0.013589859008789,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,122.384,0.0,10.512,0
