time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0069141387939453,0.0069141387939453,0.0050067901611328,0.0060558319091796,0.009775161743164,0.009775161743164,0.0082015991210937,0.0109195709228515,0.0,0.0,0.0,0.0,0.0208043037576878,0.0209808349609375,0.496,1.36,0.0,0.0,118.448,3.744,4.232,34.903047091412745,5205.184,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0073909759521484,0.0073909759521484,0.0050067901611328,0.0063260396321614,0.0066757202148437,0.0066757202148437,0.0084877014160156,0.0113646189371744,0.0,0.0,0.0,0.0,0.0208043037576878,0.0288963317871093,0.496,1.36,0.0,0.0,118.448,12.008,11.968,34.903047091412745,5205.184,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0069141387939453,0.0069141387939453,0.0050067901611328,0.0060081481933593,0.0107288360595703,0.0107288360595703,0.0080108642578125,0.0108718872070312,0.0,0.0,0.0,0.0,0.0208043037576878,0.0205039978027343,0.496,1.36,0.0,0.0,118.448,3.744,4.232,34.903047091412745,5205.184,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.00762939453125,0.00762939453125,0.0050067901611328,0.0061511993408203,0.0100135803222656,0.0100135803222656,0.008392333984375,0.0113248825073242,0.0,0.0,0.0,0.0,0.0208043037576878,0.0283479690551757,0.496,1.36,0.0,0.0,118.448,8.264,7.736,34.903047091412745,5205.184,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0066757202148437,0.0066757202148437,0.0050067901611328,0.0,0.0057220458984375,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0208043037576878,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,34.903047091412745,5205.184,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0073909759521484,0.0073909759521484,0.0050067901611328,0.0077247619628906,0.0050067901611328,0.0050067901611328,0.0101089477539062,0.0113964080810546,0.0,0.0,0.0,0.0,0.0208043037576878,0.0221729278564453,0.496,1.36,0.0,0.0,118.448,3.744,4.232,34.903047091412745,5205.184,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0073909759521484,0.0073909759521484,0.0050067901611328,0.0062465667724609,0.0088214874267578,0.0088214874267578,0.0081062316894531,0.0111579895019531,0.0,0.0,0.0,0.0,0.0208043037576878,0.0211715698242187,0.496,1.36,0.0,0.0,118.448,3.744,4.232,34.903047091412745,5205.184,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0095367431640625,0.0095367431640625,0.0050067901611328,0.0063419342041015,0.0069141387939453,0.0069141387939453,0.0086307525634765,0.0113487243652343,0.0,0.0,0.0,0.0,0.0208043037576878,0.029754638671875,0.496,1.36,0.0,0.0,118.448,12.008,11.968,34.903047091412745,5205.184,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0071525573730468,0.0071525573730468,0.0050067901611328,0.0064373016357421,0.0131130218505859,0.0131130218505859,0.0079631805419921,0.0110149383544921,0.0,0.0,0.0,0.0,0.0208043037576878,0.0210285186767578,0.496,1.36,0.0,0.0,118.448,3.744,4.232,34.903047091412745,5205.184,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072056704228467,0.0097513198852539,0.0123977661132812,0.0123977661132812,0.0050067901611328,0.0068611568874782,0.011444091796875,0.011444091796875,0.009775161743164,0.0105987895618785,0.0,0.0,0.0,0.0,0.0208043037576878,0.0271797180175781,0.496,1.36,0.0,0.0,118.448,8.792,7.208,34.903047091412745,5205.184,1
