time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
103,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060582160949707,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0107288360595703,0.0107288360595703,0.0090599060058593,0.0,0.0092983245849609,0.0090599060058593,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.848,0.848,0.0,0.0,112.0,0.0,0.0,1
104,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060506127960053,0.0085830688476562,0.0104904174804687,0.0104904174804687,0.0121593475341796,0.0121593475341796,0.0045299530029296,0.0073909759521484,0.0092983245849609,0.0045299530029296,0.0092983245849609,0.0102043151855468,0.0110149383544921,0.0207901000976562,0.0,0.0,0.496,1.36,0.848,0.848,4.232,3.744,113.256,100.0,0.0,1
105,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061502504111522,0.0083446502685546,0.00762939453125,0.00762939453125,0.0095367431640625,0.0095367431640625,0.0,0.0066757202148437,0.0,0.0,0.0,0.0089645385742187,0.010538101196289,0.0196456909179687,0.0,0.0,0.496,1.36,0.0,0.0,4.232,3.744,113.256,100.0,0.0,1
106,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062664942954903,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.0128746032714843,0.0128746032714843,0.0,0.0064202717372349,0.0,0.0,0.0,0.0082731246948242,0.0106394290924072,0.0270605087280273,0.0,0.0,0.496,1.36,0.0,0.0,11.44,12.536,113.256,100.0,0.0,1
107,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063312053680419,0.0088214874267578,0.0102519989013671,0.0102519989013671,0.0071525573730468,0.0071525573730468,0.0,0.0058650970458984,0.0,0.0,0.0,0.0073909759521484,0.0108718872070312,0.0207901000976562,0.0,0.0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,100.0,0.0,1
108,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059473514556884,0.0083446502685546,0.0092983245849609,0.0092983245849609,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,100.0,0.0,1
109,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064164689443643,0.0090599060058593,0.0081062316894531,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0,0.0060558319091796,0.0,0.0,0.0,0.0083446502685546,0.0108718872070312,0.0289201736450195,0.0136210368229792,0.0069379806518554,0.496,1.36,0.0,0.0,7.736,8.264,143.152,51.127819548872175,1117.904,1
110,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061738491058349,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0147819519042968,0.0147819519042968,0.0,0.0060081481933593,0.0,0.0,0.0,0.0076770782470703,0.0110149383544921,0.0212669372558593,0.0,0.0,0.496,1.424,0.0,0.0,4.232,3.744,112.0,51.127819548872175,0.0,1
111,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061174430469475,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0081062316894531,0.0081062316894531,0.0,0.006103515625,0.0,0.0,0.0,0.0077724456787109,0.0110149383544921,0.0211238861083984,0.0049471855163574,0.005507469177246,0.496,1.392,0.0,0.0,4.232,3.744,120.736,76.47058823529412,30.288,1
112,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059640407562255,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0107288360595703,0.0107288360595703,0.0,0.006413459777832,0.0,0.0,0.0,0.0090599060058593,0.0110864639282226,0.0257492065429687,0.0,0.0,0.496,1.424,0.0,0.0,7.736,8.264,112.0,76.47058823529412,0.0,1
