time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,a1_retransmissions_ul_count,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_throughput_dl_kbps,F-node
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0078280766805013,0.0099897384643554,0.005960464477539,0.0082731246948242,0.007033348083496,0.005960464477539,0.0088810920715332,0.0119209289550781,0.0144004821777343,0.011754035949707,0.0081062316894531,0.0085830688476562,1.344,2.208,0.0,0.0,8.768,5.856,1.056,0.0,0.0,62.448,0.0,0.0,4359.042263031006,4359.039783477783,1.192,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0078280766805013,0.0099897384643554,0.005960464477539,0.0081062316894531,0.0081062316894531,0.005960464477539,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.496,1.36,2.0,0.0,0.0,0.0,2.112,1.056,0.0,62.448,0.0131130218505859,0.0157833099365234,4359.084892272949,4359.055519104004,1.192,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0078280766805013,0.0099897384643554,0.005960464477539,0.009775161743164,0.009775161743164,0.005960464477539,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0,0.0,0.496,1.36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,62.448,0.0,0.0,4359.030866622925,4359.0247631073,1.192,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0074782022615758,0.0090599060058593,0.0052452087402343,0.0092983245849609,0.0092983245849609,0.0052452087402343,0.0,0.0159740447998046,0.0159740447998046,0.0,0.0,0.0,0.496,1.36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.368,0.0,0.0,4359.033465385437,4359.029173851013,1.192,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0073976605852073,0.0092983245849609,0.0038572458120492,0.0078678131103515,0.0078678131103515,0.0045299530029296,0.0,0.0157356262207031,0.0157356262207031,0.0,0.0,0.0,0.496,1.36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,88.408,0.0,0.0,4359.025859832764,4359.025478363037,22138.8,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0082955640905043,0.0104665756225585,0.0038576603466199,0.0112056732177734,0.0112056732177734,0.0045299530029296,0.0,0.0131130218505859,0.0131130218505859,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,1.184,1.184,0.0,62.448,1891.122897466024,4011.140298843384,4359.0322732925415,4359.027922153473,20525.776,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0082502270689105,0.0100135803222656,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0178813934326171,0.0178813934326171,0.0,0.0,0.0,0.496,1.424,0.0,4.0,0.0,0.0,1.184,2.368,0.0,61.192,852.5930245717367,3072.690272331238,4359.021019935608,4359.018445014954,0.0,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0071406364440917,0.0083446502685546,0.0,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.496,1.36,0.0,2.0,0.0,0.0,1.184,1.184,0.0,56.0,-174.90212122599283,1945.597362518311,4359.01083946228,4359.009504318237,0.0,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0071668624877929,0.0088453292846679,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0,0.496,1.36,0.0,2.0,0.0,0.0,1.184,1.184,0.0,56.0,-1198.401610056559,921.6100931167606,4359.021186828613,4359.0192794799805,0.0,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0072304565127533,0.0090599060058593,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0081062316894531,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.496,1.36,0.0,2.0,0.0,0.0,5.376,7.408,0.0,61.192,-1481.9306929906209,0.0129461288452148,4359.02214050293,4359.015623728435,9.784,1
