time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097526366008,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0064373016357421,0.0109672546386718,0.0109672546386718,0.0081062316894531,0.0,0.0,0.0,0.0,0.0110467274983723,0.0040275709969656,0.0206232070922851,0.0047922134399414,0.496,1.36,0.0,0.0,4.272,3.704,144.408,0.0,1531.824,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006648573544946,0.0095129013061523,0.0092983245849609,0.0092983245849609,0.0064849853515625,0.0064373016357421,0.0064373016357421,0.0085353851318359,0.0,0.0,0.0,0.0,0.0120162963867187,0.0038531889398413,0.0216484069824218,0.0042915344238281,0.496,1.424,0.0,0.0,3.744,4.232,118.448,0.0,9614.912,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060861976585577,0.0083446502685546,0.00762939453125,0.00762939453125,0.0065088272094726,0.0107288360595703,0.0107288360595703,0.0083684921264648,0.0,0.0,0.0,0.0,0.0115633010864257,0.0061988830566406,0.0265359878540039,0.0061988830566406,0.496,1.424,0.0,0.0,8.264,7.736,113.256,0.0,1.192,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061690807342529,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0063494632118626,0.0109672546386718,0.0109672546386718,0.0090599060058593,0.0,0.0,0.0,0.0,0.0105698903401692,0.0,0.0236034393310546,0.0,0.496,1.36,0.0,0.0,15.048,15.016,112.0,0.0,0.0,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061786174774169,0.0083446502685546,0.005960464477539,0.005960464477539,0.0070095062255859,0.0092983245849609,0.0092983245849609,0.0091075897216796,0.0,0.0,0.0,0.0,0.0121593475341796,0.0,0.0225543975830078,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058269500732421,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.0064373016357421,0.0064373016357421,0.0064373016357421,0.0088214874267578,0.0,0.0,0.0,0.0,0.0110149383544921,0.0,0.0271320343017578,0.0,0.496,1.36,0.0,0.0,8.264,7.736,112.0,0.0,0.0,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060975551605224,0.0081300735473632,0.0073909759521484,0.0073909759521484,0.0065326690673828,0.0073909759521484,0.0073909759521484,0.0084877014160156,0.0,0.0,0.0,0.0,0.0117301940917968,0.0,0.0218868255615234,0.0,0.496,1.36,0.0,0.0,3.744,4.232,112.0,0.0,0.0,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060873838206428,0.0081062316894531,0.0073909759521484,0.0073909759521484,0.0060558319091796,0.0100135803222656,0.0100135803222656,0.0077247619628906,0.0,0.0,0.0,0.0,0.0121593475341796,0.0050067901611328,0.0238895416259765,0.0050067901611328,0.496,1.36,0.0,0.0,3.744,4.232,113.256,0.0,1.192,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058975978870296,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0059869554307725,0.0143051147460937,0.0143051147460937,0.0070095062255859,0.0,0.0,0.0,0.0,0.0113140452991832,0.0050067901611328,0.0314712524414062,0.0050067901611328,0.496,1.36,0.0,0.0,8.792,7.208,113.256,0.0,1.192,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059118318320506,0.0078678131103515,0.0088214874267578,0.0088214874267578,0.0059127807617187,0.00762939453125,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0115394592285156,0.0071525573730468,0.0220298767089843,0.0071525573730468,0.496,1.36,0.0,0.0,3.744,4.232,113.256,0.0,1.192,0
