time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0066780576518937,0.0092267990112304,0.003897091921638,0.0,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.0113248825073242,0.0133275985717773,0.0,0,1.344,2.208,0.0,0.0,128.832,0.0,0.0,0.0,14136.272,0.0087499618530273,0.0075101852416992,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0062131170016616,0.0081062316894531,0.0066757202148437,0.0,0.0066757202148437,0.0,0.0,0.0,0.0,0.0,0.0,0.0126361846923828,0.0126361846923828,0.0,0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0081062316894531,0.0081062316894531,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061395749523865,0.0085830688476562,0.0057220458984375,0.006866455078125,0.0057220458984375,0.0,0.0,0.0,0.008249282836914,0.0111579895019531,0.0,0.0128746032714843,0.0128746032714843,0.0214576721191406,0,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0.0078678131103515,0.0078678131103515,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0059890747070312,0.0078678131103515,0.0,0.0058650970458984,0.0,0.0,0.0,0.0,0.0075340270996093,0.0108718872070312,0.0,0.0078678131103515,0.0078678131103515,0.0206947326660156,0,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0.0092983245849609,0.0092983245849609,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060820579528808,0.0078678131103515,0.0,0.0060558319091796,0.0,0.0,0.0,0.0,0.0083684921264648,0.010538101196289,0.0,0.0143051147460937,0.0143051147460937,0.0265121459960937,0,0.496,1.36,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0.005960464477539,0.005960464477539,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0061213970184326,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0.0,0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0095367431640625,0.0095367431640625,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0069048798199996,0.0090599060058593,0.0038808662985915,0.0,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.0109672546386718,0.0109672546386718,0.0,0,0.496,1.36,0.0,0.0,143.152,0.0,0.0,0.0,20994.88,0.0064373016357421,0.0064373016357421,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0063424086689355,0.0085830688476562,0.0045299530029296,0.0,0.0045299530029296,0.0,0.0,0.0,0.0,0.0,0.0,0.0123977661132812,0.0123977661132812,0.0,0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,1.192,0.0092983245849609,0.0092983245849609,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0058584545382219,0.0078678131103515,0.0071525573730468,0.0058650970458984,0.0071525573730468,0.0,0.0,0.0,0.0075817108154296,0.0111579895019531,0.0,0.0083446502685546,0.0083446502685546,0.0220298767089843,0,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0.0083446502685546,0.0083446502685546,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0060387511751545,0.0081062316894531,0.0081062316894531,0.005960464477539,0.0081062316894531,0.0,0.0,0.0,0.0076770782470703,0.0122547149658203,0.0,0.0152587890625,0.0152587890625,0.0230312347412109,0,0.496,1.36,0.0,0.0,113.256,3.744,4.232,0.0,1.192,0.0064373016357421,0.0064373016357421,0
