time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_c_packet_loss_ul_percentage,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068050118821177,0.0090599060058593,0.0053644180297851,0.0065565109252929,0.0059127807617187,0.0073432922363281,0.011301040649414,0.0,0.0,0.0223636627197265,0.0,0.0,6.448,7.008,4.232,3.744,33.33333333333333,117.192,20.0,-87.48421669006345,491.6877746582031,323.00084829330444,-252.0543336868286,0.0,0.0,45.552,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067305564880371,0.0085830688476562,0.0044981638590494,0.0060081481933593,0.0061988830566406,0.007486343383789,0.0124931335449218,0.0,0.0,0.0243663787841796,0.0,0.0,6.096,5.728,4.232,3.744,25.0,114.472,40.0,-74.9361515045166,445.79687118530273,266.7098840077718,-266.9938405354817,0.0,0.0,147.64,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066923264840349,0.0083446502685546,0.0049173831939697,0.0063180923461914,0.0061194101969401,0.008249282836914,0.0118732452392578,0.0,0.0,0.0326156616210937,0.0,0.0,8.88,9.04,11.968,12.008,20.0,117.888,20.0,-90.6440734863281,423.23830127716064,210.02143621444705,-338.31703662872314,0.0,0.0,66.752,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0062897653862981,0.0081062316894531,0.0049471855163574,0.0064849853515625,0.005960464477539,0.0078678131103515,0.0127792358398437,0.0,0.0,0.0261306762695312,0.0,0.0,6.576,6.864,4.232,3.744,20.0,118.448,20.0,-42.72935390472412,448.5775947570801,289.7540330886841,-210.61187982559204,0.0,0.0,34.976,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067853927612304,0.0090599060058593,0.0057220458984375,0.0057220458984375,0.0065803527832031,0.0090599060058593,0.0117778778076171,0.0,0.0,0.0295162200927734,0.0,0.0,6.448,7.008,7.736,8.264,33.33333333333333,112.696,20.0,-91.35167598724362,460.45334339141846,300.2414107322693,-251.0541081428528,0.0,0.0,1.192,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0068044662475585,0.0090599060058593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.096,5.728,0.0,0.0,25.0,112.0,40.0,-75.99716186523438,442.64960289001465,266.678253809611,-266.663392384847,0.0,0.0,0.0,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0066604520299751,0.0085830688476562,0.0049046107700892,0.006103515625,0.0061988830566406,0.0079631805419921,0.0124931335449218,0.0,0.0,0.0250816345214843,0.0,0.0,8.88,9.04,4.232,3.744,20.0,122.632,20.0,-94.87042427062984,420.2951669692993,211.26055717468265,-338.3216857910156,0.0,0.0,44.104,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0063400363447654,0.0083446502685546,0.0049517704890324,0.0075101852416992,0.0063896179199218,0.0083446502685546,0.0108718872070312,0.0,0.0,0.0211238861083984,0.0,0.0,6.576,6.864,4.232,3.744,20.0,114.712,20.0,-49.29132461547852,419.2817687988281,268.48089694976807,-213.1800651550293,0.0,0.0,222.256,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0062890313751068,0.0085830688476562,0.0060200691223144,0.0072717666625976,0.0065326690673828,0.0083446502685546,0.0116825103759765,0.0,0.0,0.0306606292724609,0.0,0.0,6.448,7.008,11.968,12.008,33.33333333333333,117.192,20.0,-94.55609321594235,480.7286262512207,320.2604055404663,-250.47874450683597,0.0,0.0,29.232,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.006118224034855,0.0081062316894531,0.0054836273193359,0.0054836273193359,0.0060081481933593,0.0075340270996093,0.01220703125,0.0,0.0,0.024271011352539,0.0,0.0,6.096,5.728,4.232,3.744,25.0,113.256,40.0,-81.17380142211914,438.43679428100586,266.7050361633301,-266.6591008504232,0.0,0.0,1.192,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0064727103356087,0.0088214874267578,0.0048279762268066,0.0057697296142578,0.0058889389038085,0.0079870223999023,0.0126123428344726,0.0,0.0,0.0353813171386718,0.0,0.0,8.88,9.04,7.736,8.264,20.0,120.6,20.0,-96.57475948333736,417.16392040252686,212.25333213806152,-336.3120555877685,0.0,0.0,26.4,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0067043304443359,0.0085830688476562,0.0042915344238281,0.0042915344238281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.576,6.864,0.0,0.0,20.0,112.696,20.0,-51.87044143676758,416.0954475402832,268.5178518295288,-213.13446760177607,0.0,0.0,1.192,0
