time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
109,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006212839266149,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0,0.0102519989013671,0.0102519989013671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0242233276367187,0.0628948211669921,0.496,1.36,0.0,0.0,133.032,0.0,0.0,50.0,40.552,1
110,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006061288254771,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0060558319091796,0.0,0.0078201293945312,0.0,0.0104904174804687,0.019693374633789,0.0289061973834859,0.1002311706542968,0.496,1.424,0.0,0.0,114.6,3.744,4.232,50.0,199.608,1
111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006277169754256,0.0090599060058593,0.00762939453125,0.00762939453125,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0065326690673828,0.0,0.0088214874267578,0.0,0.0116825103759765,0.0281333923339843,0.020904541015625,0.0894784927368164,0.496,1.424,0.0,0.0,114.264,7.488,8.464,50.98039215686274,312.944,1
112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061549950594925,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0,0.0126361846923828,0.0126361846923828,0.0,0.0061194101969401,0.0,0.0084877014160156,0.0,0.0109354654947916,0.0268459320068359,0.0076172715526516,0.0061988830566406,0.496,1.424,0.0,0.0,116.584,12.008,11.968,50.42016806722689,390.312,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064242538528062,0.0088214874267578,0.005960464477539,0.005960464477539,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0060558319091796,0.0,0.0086069107055664,0.0,0.010848045349121,0.0255584716796875,0.0093891507103329,0.0061988830566406,0.496,1.424,0.0,0.0,114.632,8.264,7.736,51.724137931034484,212.288,1
114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063688448160001,0.0088214874267578,0.0107288360595703,0.0107288360595703,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0226323197527629,0.0920295715332031,0.496,1.424,0.0,0.0,118.448,0.0,0.0,43.83561643835616,244.216,1
115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063936309059067,0.008559226989746,0.0066757202148437,0.0066757202148437,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0194969461924994,0.072956085205078,0.496,1.424,0.0,0.0,118.448,0.0,0.0,45.52845528455284,483.32,1
116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063086500262269,0.0088214874267578,0.0073909759521484,0.0073909759521484,0.0,0.0069141387939453,0.0069141387939453,0.0,0.006103515625,0.0,0.0077247619628906,0.0,0.0111579895019531,0.0214099884033203,0.0158885739884286,0.006866455078125,0.496,1.424,0.0,0.0,115.584,3.744,4.232,49.523809523809526,302.424,1
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062382221221923,0.0085830688476562,0.0100135803222656,0.0100135803222656,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0063578287760416,0.0,0.0084400177001953,0.0,0.0115741382945667,0.0293254852294921,0.0114270618983677,0.0082969665527343,0.496,1.424,0.0,0.0,112.0,8.016,7.936,49.09090909090909,256.384,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059913046917512,0.0078678131103515,0.0085830688476562,0.0085830688476562,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0059264046805245,0.0,0.0076055526733398,0.0,0.0115633010864257,0.029921531677246,0.0048024313790457,0.0058174133300781,0.496,1.392,0.0,0.0,117.192,12.536,11.44,58.82352941176471,51.72,1
