time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_ul_count,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0058975978870296,0.0078678131103515,0.0056425730387369,0.0063896179199218,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0112056732177734,0.0112056732177734,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,113.256,0.0,0.0,0.0,0.0,0.0,6.168,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062885850963025,0.0083446502685546,0.005141548488451,0.005960464477539,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0,0.496,1.392,0.0,0.0,0.0,0.0,119.696,0.0,0.0,0.0,0.0,0.0,92.728,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062546326746394,0.0085830688476562,0.0047061754309612,0.0053882598876953,0.0,0.0090599060058593,0.0090599060058593,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,117.16,0.0,0.0,0.0,0.0,0.0,91.048,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061597397078329,0.0083446502685546,0.0049445940100628,0.0059127807617187,0.0057220458984375,0.0069141387939453,0.0069141387939453,0.0072956085205078,0.0081062316894531,0.0081062316894531,0.0100135803222656,0.018930435180664,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,114.984,0.0,0.0,0.0,0.0,0.0,101.464,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.005917762642476,0.00762939453125,0.0050522032238188,0.005960464477539,0.0066757202148437,0.0109672546386718,0.0109672546386718,0.0079154968261718,0.0157356262207031,0.0157356262207031,0.0102996826171875,0.0186920166015625,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,115.496,0.0,0.0,0.0,0.0,0.0,97.192,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059545630275613,0.0078678131103515,0.005043469942533,0.0061511993408203,0.0056982040405273,0.0071525573730468,0.0071525573730468,0.0083684921264648,0.00762939453125,0.00762939453125,0.0097274780273437,0.021672248840332,0.0,0.0,0.496,1.424,0.0,0.0,8.264,7.736,116.752,0.0,0.0,0.0,0.0,0.0,51.288,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061752772567295,0.0081062316894531,0.0052225022088913,0.0061988830566406,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0154972076416015,0.0154972076416015,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,0.0,0.0,95.912,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062295705965249,0.0085830688476562,0.0049159640357607,0.0061988830566406,0.0,0.00762939453125,0.00762939453125,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,118.448,0.0,0.0,0.0,0.0,0.0,85.224,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.006061288254771,0.0083446502685546,0.0052584542168511,0.0069856643676757,0.0,0.0083446502685546,0.0083446502685546,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,116.072,0.0,0.0,0.0,0.0,0.0,69.312,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061217825211102,0.0085830688476562,0.0051910226995294,0.0071048736572265,0.006103515625,0.00762939453125,0.00762939453125,0.0079154968261718,0.0090599060058593,0.0090599060058593,0.010538101196289,0.0201702117919921,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,114.344,0.0,0.0,0.0,0.0,0.0,98.448,0
