time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_dl_kbps,F-node
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0053644180297851,0.0060319900512695,0.0,0.0,0.0197887420654296,0.0197887420654296,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,8.928,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0109672546386718,0.0109672546386718,0.0053644180297851,0.0060319900512695,0.0,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,8.928,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0119209289550781,0.0119209289550781,0.0053644180297851,0.0060319900512695,0.0070571899414062,0.0,0.0133514404296875,0.0133514404296875,0.0,0.0,0.0094890594482421,0.0,0.011301040649414,0.0216960906982421,0.496,1.36,0.0,0.0,118.448,3.744,4.232,8.928,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0053644180297851,0.0060319900512695,0.0064849853515625,0.0,0.0109672546386718,0.0109672546386718,0.0,0.0,0.0090599060058593,0.0,0.0119686126708984,0.0312566757202148,0.496,1.36,0.0,0.0,118.448,7.488,8.464,8.928,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0053644180297851,0.0060319900512695,0.0062147776285807,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0,0.008392333984375,0.0,0.0111738840738932,0.0268459320068359,0.496,1.36,0.0,0.0,118.448,12.008,11.968,8.928,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0053644180297851,0.0060319900512695,0.0061750411987304,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0083446502685546,0.0,0.0108957290649414,0.0267744064331054,0.496,1.36,0.0,0.0,118.448,8.264,7.736,8.928,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.00762939453125,0.00762939453125,0.0053644180297851,0.0060319900512695,0.0,0.0,0.0104904174804687,0.0104904174804687,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,8.928,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0064373016357421,0.0064373016357421,0.0053644180297851,0.0060319900512695,0.0,0.0,0.0081062316894531,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,118.448,0.0,0.0,8.928,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0053644180297851,0.0060319900512695,0.0060081481933593,0.0,0.00762939453125,0.00762939453125,0.0,0.0,0.0077724456787109,0.0,0.0115871429443359,0.0223636627197265,0.496,1.36,0.0,0.0,118.448,3.744,4.232,8.928,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006108000726983,0.0081062316894531,0.0078678131103515,0.0078678131103515,0.0053644180297851,0.0060319900512695,0.0058889389038085,0.0,0.0061988830566406,0.0061988830566406,0.0,0.0,0.0081300735473632,0.0,0.0107765197753906,0.0274419784545898,0.496,1.36,0.0,0.0,118.448,7.488,8.464,8.928,1
