time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,f1_c_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058964117249446,0.0081062316894531,0.0071525573730468,0.0,0.0,0.0071525573730468,0.0067710876464843,0.0,0.0,0.0086307525634765,0.0128746032714843,0.0185966491699218,0.0185966491699218,0.0243186950683593,0,0.496,0.0,1.424,0.0,113.256,4.52,3.504,0.0,1.192,0.0092983245849609,0.0092983245849609,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061300856557058,0.0081062316894531,0.0061988830566406,0.0154972076416015,0.0069141387939453,0.0061988830566406,0.0,0.0154972076416015,0.0069141387939453,0.0,0.0,0.0128746032714843,0.0128746032714843,0.0,0,0.496,0.848,1.36,0.848,113.256,0.0,0.0,0.0,1.192,0.0071525573730468,0.0071525573730468,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062807282405113,0.0083446502685546,0.005960464477539,0.0042915344238281,0.0104904174804687,0.005960464477539,0.0,0.0042915344238281,0.0104904174804687,0.0,0.0,0.0102519989013671,0.0102519989013671,0.0,0,0.496,0.848,1.36,0.848,113.256,0.0,0.0,0.0,1.192,0.00762939453125,0.00762939453125,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005960464477539,0.0081300735473632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088214874267578,0.0088214874267578,0.0,0,0.496,0.0,1.36,0.0,112.0,0.0,0.0,0.0,0.0,0.0078678131103515,0.0078678131103515,0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0058817863464355,0.0081062316894531,0.0,0.0,0.0,0.0,0.0072479248046875,0.0,0.0,0.0103950500488281,0.0116825103759765,0.0100135803222656,0.0100135803222656,0.0203609466552734,0,0.496,0.0,1.36,0.0,112.0,3.744,4.232,0.0,0.0,0.0078678131103515,0.0078678131103515,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0065495666948337,0.0090599060058593,0.003868106876685,0.0,0.0,0.0042915344238281,0.0061988830566406,0.0,0.0,0.0079631805419921,0.0107288360595703,0.0088214874267578,0.0088214874267578,0.0200748443603515,0,0.496,0.0,1.36,0.0,143.152,3.744,4.232,0.0,11359.16,0.0100135803222656,0.0100135803222656,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062807282405113,0.0085830688476562,0.0041662118373773,0.0,0.0,0.0050067901611328,0.0061750411987304,0.0,0.0,0.0088691711425781,0.010538101196289,0.0085830688476562,0.0085830688476562,0.0235557556152343,0,0.496,0.0,1.424,0.0,117.192,8.264,7.736,0.0,824.768,0.009775161743164,0.009775161743164,0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006219047812087,0.0085830688476562,0.0083446502685546,0.0,0.0,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.0,0,0.496,0.0,1.424,0.0,113.256,0.0,0.0,0.0,1.192,0.0092983245849609,0.0092983245849609,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006190579922045,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0100135803222656,0.0100135803222656,0.0,0,0.496,0.0,1.36,0.0,113.256,0.0,0.0,0.0,1.192,0.0090599060058593,0.0090599060058593,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061609258699179,0.0081062316894531,0.0085830688476562,0.0,0.0,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0061988830566406,0.0061988830566406,0.0,0,0.496,0.0,1.36,0.0,113.256,0.0,0.0,0.0,1.192,0.0078678131103515,0.0078678131103515,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059294700622558,0.00762939453125,0.0,0.0,0.0,0.0,0.0062942504882812,0.0,0.0,0.0080585479736328,0.0117301940917968,0.0073909759521484,0.0073909759521484,0.0224590301513671,0,0.496,0.0,1.36,0.0,112.0,3.744,4.232,0.0,0.0,0.00762939453125,0.00762939453125,0
