time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,f1_u_throughput_dl_kbps,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,F-node
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061070919036865,0.0083684921264648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122785568237304,0.0133275985717773,0.0,0,1.344,2.208,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.006866455078125,0.0066757202148437,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.005960464477539,0.0078678131103515,0.0,0.0,0.0,0.0061511993408203,0.0,0.0,0.0,0.0082015991210937,0.0113964080810546,0.0119209289550781,0.0119209289550781,0.0223636627197265,0,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0.00762939453125,0.00762939453125,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061452388763427,0.0083446502685546,0.0,0.0,0.0,0.006103515625,0.0,0.0,0.0,0.0075340270996093,0.0115394592285156,0.0143051147460937,0.0143051147460937,0.0218868255615234,0,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0.0069141387939453,0.0069141387939453,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060451030731201,0.0081300735473632,0.0,0.0,0.0,0.0059843063354492,0.0,0.0,0.0,0.0081300735473632,0.0102996826171875,0.013589859008789,0.013589859008789,0.0241994857788085,0,0.496,1.36,0.0,0.0,112.0,8.264,7.736,0.0,0.0,0.0083446502685546,0.0083446502685546,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0062222574271407,0.0083446502685546,0.0,0.0044239891899956,0.0,0.0,0.0059843063354492,0.0,0.0,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0,0,0.496,1.36,0.0,0.0,128.832,0.0,0.0,0.0,194.224,0.0061988830566406,0.0061988830566406,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060360030372544,0.0083208084106445,0.0,0.0050067901611328,0.0,0.0,0.0063657760620117,0.0,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0,0.496,1.424,0.0,0.0,118.448,0.0,0.0,0.0,32.672,0.0095367431640625,0.0095367431640625,0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059144331677125,0.0078678131103515,0.0,0.005960464477539,0.0,0.0,0.0063419342041015,0.0,0.0,0.0,0.0,0.0140666961669921,0.0140666961669921,0.0,0,0.496,1.424,0.0,0.0,116.288,0.0,0.0,0.0,3.936,0.0069141387939453,0.0069141387939453,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061649902194154,0.0083446502685546,0.0,0.0053882598876953,0.0,0.0062465667724609,0.0063419342041015,0.0,0.0,0.0079154968261718,0.0114917755126953,0.0071525573730468,0.0071525573730468,0.0218868255615234,0,0.496,1.424,0.0,0.0,128.64,3.744,4.232,0.0,24.456,0.0066757202148437,0.0066757202148437,0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006338357925415,0.0085830688476562,0.0,0.0040133794148763,0.0,0.0065803527832031,0.004887580871582,0.0,0.0,0.0081539154052734,0.0109672546386718,0.0,0.0,0.0204086303710937,0,0.0,1.424,0.0,0.0,112.0,3.744,4.232,0.0,69.68,145668.05481910706,145668.05481910706,1
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060737133026123,0.0083446502685546,0.0,0.0,0.0,0.0064849853515625,0.0,0.0,0.0,0.0088453292846679,0.0104665756225585,0.0,0.0,0.0238656997680664,1,0.0,2.448,0.0,0.0,112.0,8.264,7.736,0.0,0.0,144641.01791381836,144641.01791381836,1
