time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062581911608947,0.0083446502685546,0.0073909759521484,0.0073909759521484,0.0085830688476562,0.0085830688476562,0.0083446502685546,0.0064373016357421,0.0083446502685546,0.0088453292846679,0.0,0.0,0.0106096267700195,0.0256061553955078,0.496,1.36,0.0,0.0,113.256,8.264,7.736,0.0,0.0,1.192,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061609258699179,0.0083446502685546,0.0057220458984375,0.0057220458984375,0.0078678131103515,0.0078678131103515,0.0121593475341796,0.0,0.0121593475341796,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,113.256,0.0,0.0,0.0,0.0,1.192,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057768821716308,0.0074148178100585,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0081062316894531,0.0,0.0081062316894531,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059914588928222,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0092983245849609,0.0060081481933593,0.0092983245849609,0.0078201293945312,0.0,0.0,0.0111579895019531,0.0213146209716796,0.496,1.36,0.0,0.0,112.0,3.744,4.232,0.0,0.0,0.0,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059056282043457,0.0081062316894531,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0066757202148437,0.0072240829467773,0.0066757202148437,0.0102758407592773,0.0,0.0,0.0111818313598632,0.0281572341918945,0.496,1.36,0.0,0.0,112.0,7.488,8.464,0.0,0.0,0.0,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061075485760892,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0083446502685546,0.0083446502685546,0.0121593475341796,0.0060626438685825,0.0121593475341796,0.0071525573730468,0.0,0.0,0.012218952178955,0.0288724899291992,0.496,1.36,0.0,0.0,117.192,6.432,5.352,0.0,0.0,8.904,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060743360377069,0.0081062316894531,0.0083446502685546,0.0083446502685546,0.0047683715820312,0.0047683715820312,0.0085830688476562,0.0064373016357421,0.0085830688476562,0.0088214874267578,0.0,0.0,0.0115843380198759,0.0276088714599609,0.496,1.424,0.0,0.0,113.256,13.84,14.352,0.0,0.0,1.192,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070500489018389,0.0100135803222656,0.0088214874267578,0.0088214874267578,0.0038604942737175,0.0045299530029296,0.0169277191162109,0.0,0.0169277191162109,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,143.464,0.0,0.0,0.0,0.0,32718.856,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076993780942698,0.009775161743164,0.0104904174804687,0.0104904174804687,0.0038540145563901,0.0042915344238281,0.0169277191162109,0.0,0.0169277191162109,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,117.888,0.0,0.0,0.0,0.0,43700.168,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073364124962346,0.0100135803222656,0.009775161743164,0.009775161743164,0.0038721205876272,0.0045299530029296,0.0176429748535156,0.0,0.0176429748535156,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,117.192,0.0,0.0,0.0,0.0,49420.208,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074111407075948,0.0095367431640625,0.0143051147460937,0.0143051147460937,0.0039121198594891,0.0047683715820312,0.0107288360595703,0.0060319900512695,0.0107288360595703,0.0084400177001953,0.0,0.0,0.0111818313598632,0.0280380249023437,0.496,1.424,0.0,0.0,117.192,7.488,8.464,0.0,0.0,27237.688,0
