time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,e2_du_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_latency_p90_dl_ms,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_ul_count,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_latency_mean_dl_ms,a1_packet_loss_dl_percentage,a1_latency_p90_dl_ms,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061101959523371,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0054836273193359,0.0083446502685546,0.0054836273193359,0.0083446502685546,0.0,0.0,0.0,0.0,0.496,1.36,0.0,3.0,0.0,0.0,1.12,0.592,144.408,0.0188350677490234,66.66666666666666,0.0298976898193359,0.005960464477539,0.005960464477539,1.192,1
118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062578975564182,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0064373016357421,0.0116825103759765,0.0064373016357421,0.0116825103759765,0.0,0.0,0.0,0.0,0.496,1.392,1.0,5.0,0.0,0.0,2.72,4.168,118.448,0.0143845876057942,62.5,0.01983642578125,0.00762939453125,0.0112533569335937,1.192,1
119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058762469694982,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0064373016357421,0.0064373016357421,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0.0,0.496,1.392,0.0,2.0,0.0,0.0,0.528,0.528,113.256,0.0214576721191406,66.66666666666666,0.0214576721191406,0.0054836273193359,0.0054836273193359,1.192,1
120,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062298774719238,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0,0.013589859008789,0.0,0.013589859008789,0.0,0.0,0.0,0.0,0.496,1.36,0.0,1.0,0.0,0.0,0.0,0.0,112.0,0.0,100.0,0.0,0.0,0.0,0.0,1
121,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060915946960449,0.0078916549682617,0.0069141387939453,0.0069141387939453,0.0,0.0143051147460937,0.0,0.0143051147460937,0.0,0.0,0.0,0.0,0.496,1.36,0.0,3.0,0.0,0.0,6.68,7.208,112.0,0.0163487025669642,41.66666666666667,0.0259876251220703,0.0067287021213107,0.0079631805419921,0.0,1
122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059854984283447,0.0078916549682617,0.0088214874267578,0.0078678131103515,0.0,0.008702278137207,0.0,0.0091791152954101,0.0,0.0,0.0,0.0,1.344,2.208,0.0,2.0,0.0,0.0,0.528,0.528,112.0,0.021219253540039,50.0,0.021219253540039,0.0116825103759765,0.0116825103759765,0.0,1
123,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061349170963938,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0053197145462036,0.0078678131103515,0.0064373016357421,0.0078678131103515,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,129.56,0.0,50.0,0.0,0.0,0.0,83.984,1
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061870801566851,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0047087669372558,0.0126361846923828,0.0052690505981445,0.0126361846923828,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,0.0,0.0,116.544,0.0,50.0,0.0,0.0,0.0,11.92,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059711399363048,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0083446502685546,0.0112056732177734,0.0083446502685546,0.0112056732177734,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,0.0,1.12,0.592,113.256,0.0194311141967773,33.33333333333333,0.0307798385620117,0.0057220458984375,0.0057220458984375,1.192,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060506127960053,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0047683715820312,0.0061988830566406,0.0047683715820312,0.0061988830566406,0.0,0.0,0.0,0.0,0.496,1.36,0.0,3.0,0.0,0.0,0.0,0.0,113.256,0.0,100.0,0.0,0.0,0.0,1.192,1
