time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_c_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,F-node
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060200691223144,0.0081300735473632,0.0066757202148437,0.0066757202148437,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060511798393435,0.0083446502685546,0.0069141387939453,0.0069141387939453,0.0107288360595703,0.0107288360595703,0.0046115593622194,0.0,0.0052928924560546,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,137.96,100.0,1097.944,0.0,0.0,0.0,0.0,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061070919036865,0.0083446502685546,0.00762939453125,0.00762939453125,0.0064373016357421,0.0064373016357421,0.0047206878662109,0.0,0.005197525024414,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,100.0,10.52,0.0,0.0,0.0,0.0,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006866692310542,0.0088214874267578,0.0081062316894531,0.0081062316894531,0.0123977661132812,0.0123977661132812,0.0045090505521591,0.007486343383789,0.0052452087402343,0.0091075897216796,0.0104904174804687,0.0197410583496093,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,121.824,100.0,3041.016,0.0,0.0,0.0,0.0,1
134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006672179344857,0.0092983245849609,0.0088214874267578,0.0088214874267578,0.0157356262207031,0.0157356262207031,0.0043043937349458,0.0061511993408203,0.0050067901611328,0.0076770782470703,0.0106334686279296,0.019693374633789,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,118.448,100.0,5483.888,0.0,0.0,0.0,0.0,1
135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064610248774438,0.0081062316894531,0.0112056732177734,0.0112056732177734,0.0081062316894531,0.0081062316894531,0.0057220458984375,0.005960464477539,0.0057220458984375,0.0083684921264648,0.0116586685180664,0.0263690948486328,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,113.256,100.0,1.192,0.0,0.0,0.0,0.0,1
136,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058948993682861,0.00762939453125,0.0085830688476562,0.0085830688476562,0.0071525573730468,0.0071525573730468,0.0057220458984375,0.0,0.0057220458984375,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.696,100.0,1.192,0.0,0.0,0.0,0.0,1
137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059819221496582,0.0078678131103515,0.0073909759521484,0.0073909759521484,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,100.0,0.0,0.0,0.0,0.0,0.0,1
138,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0066897448371438,0.0092983245849609,0.0083446502685546,0.0083446502685546,0.0100135803222656,0.0100135803222656,0.0044063823979075,0.0,0.0052452087402343,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,131.952,100.0,4236.08,0.0,0.0,0.0,0.0,1
139,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063756212073179,0.0088214874267578,0.0100135803222656,0.0100135803222656,0.0126361846923828,0.0126361846923828,0.0047548761907613,0.0060558319091796,0.0056028366088867,0.00762939453125,0.0104427337646484,0.0195026397705078,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,117.192,100.0,925.04,0.0,0.0,0.0,0.0,1
