time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062024415428958,0.0081062316894531,0.0121593475341796,0.0121593475341796,0.0088214874267578,0.0088214874267578,0.0061988830566406,0.0,0.0085830688476562,0.0,0.0,0.0,0.0108242034912109,0.0266551971435546,0.0039921250454215,0.0047206878662109,0.496,1.424,0.0,0.0,12.008,11.968,114.328,0.0,459.608,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059664249420166,0.0081062316894531,0.0081062316894531,0.0081062316894531,0.0090599060058593,0.0090599060058593,0.007176399230957,0.0,0.0094413757324218,0.0,0.0,0.0,0.0112295150756835,0.026559829711914,0.0,0.0,0.496,1.392,0.0,0.0,8.264,7.736,112.0,0.0,0.0,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006181001663208,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.0092983245849609,0.0092983245849609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063134174720913,0.0088214874267578,0.0071525573730468,0.0071525573730468,0.0088214874267578,0.0088214874267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041814950796274,0.0047683715820312,0.496,1.36,0.0,0.0,0.0,0.0,128.832,0.0,731.144,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061268853669119,0.0085830688476562,0.0073909759521484,0.0073909759521484,0.0102519989013671,0.0102519989013671,0.0061988830566406,0.0,0.0077724456787109,0.0,0.0,0.0,0.0116348266601562,0.0219345092773437,0.0040292739868164,0.0047683715820312,0.496,1.424,0.0,0.0,3.744,4.232,118.448,0.0,850.176,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066202465850527,0.0087976455688476,0.0112056732177734,0.0112056732177734,0.0131130218505859,0.0131130218505859,0.0069618225097656,0.0,0.0088453292846679,0.0,0.0,0.0,0.0118970870971679,0.0262975692749023,0.0038882885598964,0.0045299530029296,0.496,1.424,0.0,0.0,7.488,8.464,118.448,0.0,6101.04,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062227249145507,0.0083446502685546,0.0123977661132812,0.0123977661132812,0.0128746032714843,0.0128746032714843,0.0062465667724609,0.0,0.008249282836914,0.0,0.0,0.0,0.0112692515055338,0.028848648071289,0.0,0.0,0.496,1.392,0.0,0.0,12.008,11.968,112.0,0.0,0.0,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062227249145507,0.0083684921264648,0.0085830688476562,0.0085830688476562,0.0126361846923828,0.0126361846923828,0.005854500664605,0.0,0.0070095062255859,0.0,0.0,0.0,0.0107071616432883,0.026702880859375,0.0,0.0,0.496,1.36,0.0,0.0,8.792,7.208,112.0,0.0,0.0,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006234467919193,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0083446502685546,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071525573730468,0.0090599060058593,0.496,1.36,0.0,0.0,0.0,0.0,117.192,0.0,31.096,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062846197870564,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.0128746032714843,0.0128746032714843,0.0,0.0126361846923828,0.0,0.0121593475341796,0.0153064727783203,0.0136852264404296,0.0,0.0,0.004731691800631,0.0075340270996093,0.496,1.424,1.696,1.696,0.0,0.0,125.864,0.0,121.08,0
