time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,a1_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_packet_loss_dl_percentage,f1_u_throughput_dl_kbps,F-node
124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060009956359863,0.0078678131103515,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0066518783569335,0.0088214874267578,0.0088214874267578,0.0084161758422851,0.0,0.0,0.0,0.0,0.0125567118326822,0.0262737274169921,0.0,0.496,1.36,0.0,0.0,0.0,7.736,7.736,112.0,10.0,0.0,1
125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060224533081054,0.00762939453125,0.0078678131103515,0.0078678131103515,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,10.0,0.0,1
126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0058543682098388,0.0078916549682617,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.0085830688476562,0.0085830688476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,10.0,0.0,1
127,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0061124995134878,0.0083446502685546,0.0071525573730468,0.0071525573730468,0.0039620488012501,0.0047683715820312,0.0,0.0107288360595703,0.0107288360595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,144.408,10.0,4270.008,1
128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006924814252711,0.0095367431640625,0.009775161743164,0.009775161743164,0.0038548189517203,0.0045299530029296,0.0064849853515625,0.0152587890625,0.0152587890625,0.0086784362792968,0.0,0.0,0.0,0.0,0.0136852264404296,0.0245571136474609,0.0,0.496,1.424,1.0,0.0,0.0,3.744,4.232,113.256,16.666666666666664,16281.68,1
129,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059487197199478,0.0081062316894531,0.0085830688476562,0.0085830688476562,0.0044284982884183,0.0052452087402343,0.0061988830566406,0.0102519989013671,0.0102519989013671,0.0061988830566406,0.0,0.0,0.0,0.0,0.0177621841430664,0.0279664993286132,0.0,0.496,1.424,0.0,0.0,0.0,1.12,0.592,123.64,33.33333333333333,427.768,1
130,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.006638765335083,0.0090599060058593,0.0102519989013671,0.0102519989013671,0.004182596430766,0.0052452087402343,0.006258487701416,0.0133514404296875,0.0133514404296875,0.008559226989746,0.0,0.0,0.0,0.0,0.0096956888834635,0.01220703125,0.0,0.496,1.424,1.0,0.0,0.0,2.624,3.64,112.0,0.0,3836.328,1
131,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060176849365234,0.0083446502685546,0.0090599060058593,0.0090599060058593,0.0,0.0,0.0093199990012428,0.0071525573730468,0.0071525573730468,0.0162124633789062,0.0,0.0,0.0,0.0,0.0149553472345525,0.0300407409667968,1.0,0.496,1.392,1.0,0.0,0.0,8.888,8.264,112.0,8.333333333333332,0.0,1
132,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0060498714447021,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0,0.0,0.0066757202148437,0.0071525573730468,0.0071525573730468,0.0081062316894531,0.0,0.0,0.0,0.0,0.0127278841458834,0.0253677368164062,0.0,0.496,1.36,1.0,0.0,0.0,9.72,10.784,112.0,23.52941176470588,0.0,1
133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0059807300567626,0.0078916549682617,0.00762939453125,0.00762939453125,0.0,0.0,0.0050067901611328,0.00762939453125,0.00762939453125,0.0050067901611328,0.0,0.0,0.0,0.0,0.019073486328125,0.019073486328125,0.0,0.496,1.36,1.0,0.0,0.0,0.528,0.528,112.0,0.0,0.0,1
