time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,a1_latency_mean_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,a1_latency_mean_dl_ms,f1_c_latency_p90_ul_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
179,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061229686831953,0.0083446502685546,0.00762939453125,0.00762939453125,0.0045078316914666,0.0054836273193359,0.0062465667724609,0.0107288360595703,0.0107288360595703,0.0082015991210937,0.0,0.0113964080810546,0.0,0.0220298767089843,0.0,0.496,1.424,0.0,0.0,115.856,3.744,4.232,0.0,0.0,760.296,1
180,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007394516822135,0.0100135803222656,0.0092983245849609,0.0092983245849609,0.00407674960662,0.0047683715820312,0.0057697296142578,0.0112056732177734,0.0112056732177734,0.0072956085205078,0.0,0.0105857849121093,0.0,0.0199317932128906,0.0,0.496,1.424,0.0,0.0,116.864,3.744,4.232,0.0,0.0,17244.8,1
181,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061277133315356,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.005960464477539,0.0069141387939453,0.0061273574829101,0.0145435333251953,0.0145435333251953,0.0079154968261718,0.0,0.0114202499389648,0.0,0.0301122665405273,0.0,0.496,1.424,0.0,0.0,113.256,8.264,7.736,0.0,0.0,14.552,1
182,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063381572761157,0.0088214874267578,0.0085830688476562,0.0085830688476562,0.004487567477756,0.0054836273193359,0.0,0.011444091796875,0.011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,119.776,0.0,0.0,0.0,0.0,1211.928,1
183,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062641219713201,0.0085830688476562,0.00762939453125,0.00762939453125,0.0073909759521484,0.0073909759521484,0.0,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.424,0.0,0.0,114.296,0.0,0.0,0.0,0.0,2.008,1
184,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062787532806396,0.0085830688476562,0.0070571899414062,0.0066757202148437,0.0042764990179388,0.0054836273193359,0.0,0.0127553939819335,0.0138044357299804,0.0,0.0,0.0,0.0,0.0,0.0,1.344,2.272,0.0,0.0,112.0,0.0,0.0,0.0,0.0,1242.776,1
185,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063830082959467,0.0088214874267578,0.0092983245849609,0.0092983245849609,0.0041936223855427,0.0050067901611328,0.006103515625,0.0073909759521484,0.0073909759521484,0.0078201293945312,0.0100135803222656,0.0109195709228515,0.0100135803222656,0.0209808349609375,0.0,0.496,1.392,3.312,0.0,119.776,3.744,4.232,1067.009210586548,1067.009210586548,4670.584,1
186,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066521144149327,0.0088214874267578,0.0078678131103515,0.0078678131103515,0.0043747036956077,0.0053167343139648,0.0061511993408203,0.0166893005371093,0.0166893005371093,0.0080108642578125,0.0,0.0105857849121093,0.0,0.0201702117919921,0.0,0.496,1.424,0.0,3.28,118.448,3.744,4.232,0.0,0.0,2830.864,1
187,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062095585154063,0.0081062316894531,0.0092983245849609,0.0092983245849609,0.0051180521647135,0.006103515625,0.0057935714721679,0.00762939453125,0.00762939453125,0.0081300735473632,0.0088214874267578,0.0103235244750976,0.0088214874267578,0.0244855880737304,0.0,0.496,1.424,0.496,0.0,113.256,8.264,7.736,1067.0104026794434,1067.0104026794434,70.072,1
188,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071208465275506,0.0094890594482421,0.0100135803222656,0.0100135803222656,0.0043001415927487,0.0050067901611328,0.0,0.0081062316894531,0.0081062316894531,0.0,0.003814697265625,0.0,0.003814697265625,0.0,0.0,0.496,1.424,0.784,0.848,121.288,0.0,0.0,1067.016363143921,1067.016363143921,10870.384,1
