time_seconds,a1_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,f1_c_retransmissions_ul_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,f1_u_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,a1_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,a1_retransmissions_dl_count,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_throughput_ul_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,a1_packet_loss_dl_percentage,a1_latency_mean_ul_ms,a1_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062236691465472,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0052872826071346,0.0,0.0066757202148437,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,116.896,0.0,0.0,0.0,0.0,0.0,50.376,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064502208690925,0.0083446502685546,0.0083446502685546,0.0083446502685546,0.00509950849745,0.0,0.0055551528930664,0.0,0.0,0.0,0.0083446502685546,0.0083446502685546,0.010538101196289,0.0197887420654296,0.0,0.496,1.424,0.0,0.0,0.0,120.536,3.744,4.232,0.0,0.0058650970458984,0.0073909759521484,55.04,0
86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0066650976048837,0.0090599060058593,0.00762939453125,0.00762939453125,0.005044937133789,0.0,0.0060081481933593,0.0,0.0,0.0,0.005960464477539,0.005960464477539,0.0102519989013671,0.019073486328125,0.0,0.496,1.424,0.0,0.0,0.0,117.216,3.744,4.232,0.0,0.0058650970458984,0.0073909759521484,83.944,0
87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062083723533212,0.0088214874267578,0.0092983245849609,0.0092983245849609,0.0053592350171959,0.0,0.0066280364990234,0.0,0.0,0.0,0.0143051147460937,0.0143051147460937,0.010538101196289,0.0239133834838867,0.0,0.496,1.424,0.0,0.0,0.0,114.808,8.264,7.736,0.0,0.0061273574829101,0.0077486038208007,64.008,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0065393115750592,0.0088214874267578,0.0092983245849609,0.0092983245849609,0.0051208164380944,0.0,0.0056743621826171,0.0,0.0,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,114.76,0.0,0.0,0.0,0.0,0.0,62.312,0
89,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0063376640205952,0.0088214874267578,0.0088214874267578,0.0088214874267578,0.0051856040954589,0.0,0.0057220458984375,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0,0.0,0.0,0.496,1.424,0.0,0.0,0.0,114.808,0.0,0.0,0.0,0.0,0.0,37.2,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064432324461675,0.0083446502685546,0.0073671340942382,0.0072717666625976,0.0051770891462053,0.0,0.005960464477539,0.0,0.0,0.0,0.0119209289550781,0.0126838684082031,0.0,0.0,0.0,1.344,2.272,0.0,0.0,0.0,116.248,0.0,0.0,0.0,0.0,0.0,53.096,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0064868738155553,0.0088214874267578,0.00762939453125,0.00762939453125,0.0046624077690972,0.0,0.005340576171875,0.0,0.0,0.0,0.00762939453125,0.00762939453125,0.011444091796875,0.021982192993164,0.0,0.496,1.424,0.0,0.0,0.0,115.888,3.744,4.232,0.0,0.0070571899414062,0.0098705291748046,64.856,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062272100165338,0.0085830688476562,0.0064373016357421,0.0064373016357421,0.0057390757969447,0.0,0.0069379806518554,0.0,0.0,0.0,0.0073909759521484,0.0073909759521484,0.0107288360595703,0.01983642578125,0.0,0.496,1.424,0.0,0.0,0.0,116.272,3.744,4.232,0.0,0.0060081481933593,0.0075340270996093,34.24,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0062024239266272,0.0087976455688476,0.0083446502685546,0.0083446502685546,0.0051330117618336,0.0,0.0058174133300781,0.0,0.0,0.0,0.0119209289550781,0.0119209289550781,0.0097274780273437,0.0208377838134765,0.0,0.496,1.424,0.0,0.0,0.0,115.648,19.04,19.048,0.0,0.0063037872314453,0.0080585479736328,40.296,0
