time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_ul_percentage,f1_u_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,a1_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_ul_kbps,f1_c_throughput_dl_kbps,a1_throughput_dl_kbps,a1_throughput_ul_kbps,f1_c_latency_mean_dl_ms,f1_c_latency_mean_ul_ms,f1_c_packet_loss_dl_percentage,f1_u_throughput_ul_kbps,f1_c_latency_p90_dl_ms,f1_c_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
60,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060245172301335,0.0081062316894531,0.0069141387939453,0.0,0.0069141387939453,0.0066757202148437,0.0070571899414062,0.0,0.0092983245849609,0.0100612640380859,0.0,0.0,0.0,0.0,1.344,2.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0060363788509843,0.0083446502685546,0.0054836273193359,0.0062465667724609,0.0054836273193359,0.0071525573730468,0.0071525573730468,0.0077724456787109,0.0107288360595703,0.0107288360595703,0.0116348266601562,0.0214099884033203,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0061087347381743,0.0081062316894531,0.005960464477539,0.0070571899414062,0.005960464477539,0.005960464477539,0.005960464477539,0.0107765197753906,0.0112056732177734,0.0112056732177734,0.0110149383544921,0.0206470489501953,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,0.0,0.0,0.0,113.256,0.0,0.0,1.192,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0058400630950927,0.00762939453125,0.0,0.006270408630371,0.0,0.005960464477539,0.005960464477539,0.0082731246948242,0.0083446502685546,0.0083446502685546,0.010538101196289,0.0242948532104492,0.0,0.0,0.496,1.36,0.0,0.0,8.264,7.736,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059914588928222,0.0076532363891601,0.0,0.0,0.0,0.0071525573730468,0.0071525573730468,0.0,0.0116825103759765,0.0116825103759765,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059366226196289,0.0078678131103515,0.0,0.0,0.0,0.005960464477539,0.005960464477539,0.0,0.0100135803222656,0.0100135803222656,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059425830841064,0.0078678131103515,0.0,0.0,0.0,0.0066757202148437,0.0066757202148437,0.0,0.0069141387939453,0.0069141387939453,0.0,0.0,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,0.0061988830566406,0.00762939453125,0.0,112.0,0.0069618225097656,0.0093460083007812,0.0,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062653081334052,0.0085830688476562,0.0053644180297851,0.0063896179199218,0.0076532363891601,0.0066757202148437,0.0066757202148437,0.0080585479736328,0.0066757202148437,0.0066757202148437,0.0115871429443359,0.0222682952880859,0.0,0.0,0.496,1.36,0.0,0.0,3.744,4.232,0.0,0.0,0.0,117.888,0.0,0.0,26.192,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0062928411173703,0.0088214874267578,0.0069936116536458,0.0071525573730468,0.0078201293945312,0.0095367431640625,0.0095367431640625,0.0092029571533203,0.0069141387939453,0.0069141387939453,0.0108242034912109,0.0193119049072265,0.0,0.0,0.496,1.424,0.0,0.0,3.744,4.232,0.0,0.0,0.0,118.424,0.0,0.0,5.784,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0059780816139258,0.0080585479736328,0.0057220458984375,0.0059843063354492,0.0063896179199218,0.0071525573730468,0.0071525573730468,0.008392333984375,0.0119209289550781,0.0119209289550781,0.0106573104858398,0.023508071899414,0.0,0.0,0.496,1.424,0.0,0.0,8.264,7.736,0.0,0.0,0.0,118.488,0.0,0.0,5.848,0
