time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_ul_percentage,e2_du_packet_loss_dl_percentage,e2_du_retransmissions_ul_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,f1_c_retransmissions_ul_count,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_packet_loss_ul_percentage,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_mean_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_mean_dl_ms,a1_latency_p90_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_p90_dl_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,f1_u_packet_loss_dl_percentage,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,f1_u_latency_mean_dl_ms,f1_u_latency_p90_dl_ms,f1_u_throughput_dl_kbps,F-node
66,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059205323017289,0.0083446502685546,0.0092983245849609,0.0092983245849609,0.0123977661132812,0.0123977661132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,122.376,0.0047683715820312,0.0054836273193359,14.52,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065782387268367,0.0092983245849609,0.0061988830566406,0.0061988830566406,0.0100135803222656,0.0100135803222656,0.0064373016357421,0.0,0.0,0.0084877014160156,0.0,0.0,0.0108718872070312,0.020456314086914,0.496,1.36,0.0,0.0,0.0,4.232,3.744,123.256,0.0041466580623644,0.0052452087402343,2042.472,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061775321391091,0.0085830688476562,0.0069141387939453,0.0069141387939453,0.0131130218505859,0.0131130218505859,0.0067710876464843,0.0,0.0,0.0091552734375,0.0,0.0,0.0108718872070312,0.0199794769287109,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0057220458984375,0.0067949295043945,8.832,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059960493400915,0.0081062316894531,0.00762939453125,0.00762939453125,0.0116825103759765,0.0116825103759765,0.0067551930745442,0.0,0.0,0.0097274780273437,0.0,0.0,0.0115235646565755,0.0281333923339843,0.496,1.36,0.0,0.0,0.0,11.968,12.008,113.256,0.0052452087402343,0.0052452087402343,1.192,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005955696105957,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0116825103759765,0.0116825103759765,0.0071048736572265,0.0,0.0,0.0100135803222656,0.0,0.0,0.0110626220703125,0.0207424163818359,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059616565704345,0.0078678131103515,0.0061988830566406,0.0061988830566406,0.0102519989013671,0.0102519989013671,0.006413459777832,0.0,0.0,0.0086545944213867,0.0,0.0,0.0104665756225585,0.023818016052246,0.496,1.36,0.0,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0.0,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060164928436279,0.0078916549682617,0.0057220458984375,0.0057220458984375,0.0138282775878906,0.0138282775878906,0.0,0.0191926956176757,0.0180006027221679,0.0,0.0269174575805664,0.0259160995483398,0.0,0.0,0.496,1.36,1.696,1.696,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060021877288818,0.0078678131103515,0.0071525573730468,0.0071525573730468,0.0112056732177734,0.0112056732177734,0.0063896179199218,0.0,0.0,0.0082015991210937,0.0,0.0,0.0118732452392578,0.0225543975830078,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058465929173711,0.0078678131103515,0.00762939453125,0.00762939453125,0.0078678131103515,0.0078678131103515,0.0069618225097656,0.0,0.0,0.009775161743164,0.0,0.0,0.0111103057861328,0.0208377838134765,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0090599060058593,0.0090599060058593,1.192,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060221449059633,0.0083446502685546,0.0081062316894531,0.0081062316894531,0.0123977661132812,0.0123977661132812,0.0066439310709635,0.0,0.0,0.0088214874267578,0.0,0.0,0.0110626220703125,0.0261306762695312,0.496,1.36,0.0,0.0,0.0,11.968,12.008,113.256,0.005960464477539,0.005960464477539,1.192,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060707775514517,0.0081062316894531,0.0057220458984375,0.0057220458984375,0.0126361846923828,0.0126361846923828,0.0072479248046875,0.0,0.0,0.0106334686279296,0.0,0.0,0.0110626220703125,0.020599365234375,0.496,1.36,0.0,0.0,0.0,4.232,3.744,113.256,0.0085830688476562,0.0085830688476562,1.192,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060033798217773,0.0078678131103515,0.0066757202148437,0.0066757202148437,0.0071525573730468,0.0071525573730468,0.0072717666625976,0.0,0.0,0.0096559524536132,0.0,0.0,0.0110864639282226,0.0245571136474609,0.496,1.36,0.0,0.0,0.0,7.736,8.264,112.0,0.0,0.0,0.0,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058639049530029,0.0081062316894531,0.0071525573730468,0.0071525573730468,0.00762939453125,0.00762939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,1.36,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061011314392089,0.0081300735473632,0.0066757202148437,0.0066757202148437,0.0102519989013671,0.0102519989013671,0.0062465667724609,0.0,0.0,0.008249282836914,0.0,0.0,0.011301040649414,0.0214576721191406,0.496,1.36,0.0,0.0,0.0,4.232,3.744,112.0,0.0,0.0,0.0,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059450443704329,0.0078678131103515,0.0064373016357421,0.0064373016357421,0.0073909759521484,0.0073909759521484,0.0066757202148437,0.0,0.0,0.0085830688476562,0.0,0.0,0.0125885009765625,0.0243186950683593,0.496,1.36,0.0,0.0,0.0,4.232,3.744,117.192,0.0049471855163574,0.0071287155151367,40.944,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061646546467696,0.0083446502685546,0.0066757202148437,0.0066757202148437,0.0073909759521484,0.0073909759521484,0.0062147776285807,0.0,0.0,0.0087261199951171,0.0,0.0,0.0109354654947916,0.0271797180175781,0.496,1.36,0.0,0.0,0.0,11.968,12.008,118.448,0.0067949295043945,0.0082254409790039,10.72,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061213676565386,0.0083446502685546,0.0061988830566406,0.0061988830566406,0.0081062316894531,0.0081062316894531,0.0060558319091796,0.0,0.0,0.0078201293945312,0.0,0.0,0.0106334686279296,0.019693374633789,0.496,1.36,0.0,0.0,0.0,4.232,3.744,120.024,0.0065167744954427,0.008249282836914,7.384,0
