time_seconds,a1_retransmissions_ul_count,a1_retransmissions_dl_count,a1_packet_loss_ul_percentage,a1_packet_loss_dl_percentage,e2_du_packet_loss_dl_percentage,f1_c_packet_loss_ul_percentage,f1_c_retransmissions_dl_count,e2_du_retransmissions_dl_count,f1_c_packet_loss_dl_percentage,f1_c_retransmissions_ul_count,f1_u_packet_loss_dl_percentage,f1_u_packet_loss_ul_percentage,f1_u_retransmissions_dl_count,f1_u_retransmissions_ul_count,f1_u_latency_mean_ul_ms,f1_u_latency_p90_ul_ms,f1_c_latency_mean_ul_ms,f1_c_latency_p90_ul_ms,f1_c_latency_mean_dl_ms,f1_c_latency_p90_dl_ms,f1_u_latency_mean_dl_ms,a1_latency_mean_ul_ms,f1_u_latency_p90_dl_ms,e2_du_latency_mean_dl_ms,e2_du_latency_p90_dl_ms,a1_latency_p90_ul_ms,a1_latency_mean_dl_ms,a1_latency_p90_dl_ms,e2_du_retransmissions_ul_count,e2_du_throughput_dl_kbps,e2_du_throughput_ul_kbps,f1_c_throughput_dl_kbps,f1_c_throughput_ul_kbps,a1_throughput_ul_kbps,a1_throughput_dl_kbps,f1_u_throughput_ul_kbps,e2_du_packet_loss_ul_percentage,e2_du_latency_mean_ul_ms,e2_du_latency_p90_ul_ms,f1_u_throughput_dl_kbps,F-node
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061595439910888,0.0081300735473632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121593475341796,0.0121593475341796,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,0.0,0.0,112.0,0.0,0.00762939453125,0.00762939453125,0.0,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059616565704345,0.0078678131103515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103712081909179,0.0118017196655273,0.0,0.0,0.0,0,1.344,2.208,0.0,0.0,0.0,0.0,112.0,0.0,0.0065565109252929,0.0079870223999023,0.0,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061965224766495,0.0083208084106445,0.0,0.0,0.0,0.0,0.0073909759521484,0.0061988830566406,0.0088214874267578,0.0100135803222656,0.0100135803222656,0.0077724456787109,0.01068115234375,0.0199794769287109,0,0.496,1.36,0.0,0.0,4.232,3.744,117.776,0.0,0.00762939453125,0.00762939453125,7.864,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.006133644141961,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0063419342041015,0.0,0.0057220458984375,0.0057220458984375,0.0082969665527343,0.0117778778076171,0.0222206115722656,0,0.496,1.424,0.0,0.0,4.232,3.744,114.952,0.0,0.0066757202148437,0.0066757202148437,0.0,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059260657770716,0.0081062316894531,0.0,0.0,0.0,0.0,0.0047683715820312,0.006866455078125,0.0047683715820312,0.0185966491699218,0.0185966491699218,0.0088691711425781,0.0119447708129882,0.0284910202026367,0,0.496,1.424,0.0,0.0,7.736,8.264,113.256,0.0,0.0102519989013671,0.0102519989013671,1.192,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061087347381743,0.0085830688476562,0.0,0.0,0.0,0.0,0.0066757202148437,0.0,0.0066757202148437,0.0064373016357421,0.0064373016357421,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,0.0,0.0,113.256,0.0,0.0071525573730468,0.0071525573730468,1.192,0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060920057625606,0.0082969665527343,0.0,0.0,0.0,0.0,0.0058809916178385,0.0,0.006723403930664,0.0095367431640625,0.0095367431640625,0.0,0.0,0.0,0,0.496,1.36,0.0,0.0,0.0,0.0,119.48,0.0,0.0066757202148437,0.0066757202148437,6.84,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0059914588928222,0.0078916549682617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009775161743164,0.009775161743164,0.0,0.0,0.0,0,0.496,1.424,0.0,0.0,0.0,0.0,112.0,0.0,0.0064373016357421,0.0064373016357421,0.0,0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0060296058654785,0.0083446502685546,0.0,0.0,0.0,0.0,0.0,0.0060558319091796,0.0,0.0090599060058593,0.0090599060058593,0.0077724456787109,0.01068115234375,0.01983642578125,0,0.496,1.36,0.0,0.0,4.232,3.744,112.0,0.0,0.0102519989013671,0.0102519989013671,0.0,1
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0061300856557058,0.0081062316894531,0.0,0.0,0.0,0.0,0.00762939453125,0.0066757202148437,0.00762939453125,0.0073909759521484,0.0073909759521484,0.0086307525634765,0.0113964080810546,0.022125244140625,0,0.496,1.36,0.0,0.0,4.232,3.744,114.888,0.0,0.0150203704833984,0.0150203704833984,2.6,1
